Model,Avg,ar-acc,stderr,bg-acc,stderr,de-acc,stderr,el-acc,stderr,en-acc,stderr,es-acc,stderr,fr-acc,stderr,hi-acc,stderr,ru-acc,stderr,sw-acc,stderr,th-acc,stderr,tr-acc,stderr,ur-acc,stderr,vi-acc,stderr,zh-acc,stderr
Occiglot Mistral 7B v0.1 Instruct,40.811244979919685,34.377510040160644,0.9520310502882927,38.835341365461844,0.9769028875673287,50.84337349397591,1.0020647068114186,40.0,0.9819585875881295,55.662650602409634,0.9957592660538651,48.63453815261044,1.001833496714855,51.68674698795181,1.001636845302155,34.29718875502008,0.9514999934033463,40.040160642570285,0.982122560976308,33.17269076305221,0.9437454900329125,36.34538152610442,0.9641111987257551,37.99196787148594,0.9728758452987863,34.05622489959839,0.9498886690274445,37.59036144578313,0.9708488850666043,38.634538152610446,0.9759721337538343
BLOOM 7B,41.600798403193615,33.852295409181636,0.668614720992833,39.920159680638726,0.6919663953842095,39.78043912175649,0.6915571291065509,35.36926147704591,0.6755492859492896,53.97205588822356,0.7042384831079894,48.82235528942116,0.7062752622343632,49.800399201596804,0.7064656136786095,46.506986027944116,0.7047451825220882,43.03393213572854,0.6995811852811757,37.88423153692615,0.6854166602244413,35.0499001996008,0.6741519396128824,35.08982035928144,0.674328417575373,42.19560878243513,0.6978121525912941,47.38522954091816,0.705504549301337,35.34930139720559,0.675462919640729
BLOOMZ 7B,37.13253012048192,32.69076305220884,0.9402371661447658,34.01606425702811,0.9496174608136401,41.68674698795181,0.9882576606533234,35.82329317269076,0.9610788482973925,46.86746987951807,1.000238471976211,36.02409638554217,0.9622597362374076,43.05220883534137,0.9924844537285528,40.401606425702816,0.9835674445385826,37.46987951807229,0.9702269475407221,33.6144578313253,0.9468634669293527,33.092369477911646,0.9431685461463302,33.734939759036145,0.9476976849778593,36.82730923694779,0.9668013178998446,36.666666666666664,0.9659161779186959,35.02008032128514,0.9561713038161951
YaYi 7B,39.866131191432395,39.799196787148595,0.9811284026425581,35.78313253012048,0.9608404733171226,42.610441767068274,0.9912016377459084,36.46586345381526,0.9647934990250471,50.52208835341365,1.002152649653033,47.71084337349398,1.0011563747774335,48.19277108433735,1.0015524156629814,40.040160642570285,0.982122560976308,39.11646586345381,0.9781766322010003,34.05622489959839,0.9498886690274442,34.33734939759036,0.9517658993060707,33.17269076305221,0.9437454900329122,37.06827309236948,0.9681074302261278,44.17670682730924,0.9953869607025614,34.93975903614458,0.9556642460138148
Aya 23 8B,43.11914323962517,33.89558232931727,0.9487992732201522,39.3574297188755,0.9792412871800311,49.3574297188755,1.0021245217159387,41.12449799196787,0.9862912223544626,51.566265060240966,1.0017154458106736,50.36144578313253,1.0021811000966345,51.16465863453815,1.0019353650807699,46.666666666666664,0.9999776793187634,48.674698795180724,1.0018551648218452,34.497991967871485,0.9528219800053311,35.903614457831324,0.9615533992414591,48.393574297188756,1.001689893235568,33.6144578313253,0.9468634669293527,42.24899598393574,0.9900919227857784,39.959839357429715,0.981793926795827
Aya Expanse 8B,45.56358768406961,34.096385542168676,0.9501591178361545,41.88755020080321,0.9889278882314559,51.0441767068273,1.0019887205677438,42.168674698795186,0.9898379493335453,53.855421686746986,0.9992234275993082,47.34939759036145,1.0007980557732816,53.65461847389559,0.9995265580368917,48.31325301204819,1.0016368453021547,51.00401606425703,1.0020052116889138,37.028112449799195,0.9678915409840286,41.04417670682731,0.9859994672585122,48.83534136546185,1.001935365080771,37.06827309236948,0.9681074302261274,50.12048192771085,1.0022043771315576,45.98393574297189,0.998969181016968
Llama 3 8B,44.974564926372146,33.65461847389558,0.9471423054177135,45.34136546184739,0.9978476483838961,50.48192771084338,1.0021607322475485,39.277108433734945,0.9788891787583067,55.020080321285135,0.9971431255560177,49.51807228915663,1.0021607322475472,50.562248995983936,1.002143920377733,47.55020080321285,1.0010036112667866,49.1566265060241,1.0020647068114168,38.915662650602414,0.9772702993836022,46.265060240963855,0.9994072620561419,48.23293172690763,1.0015812066461172,33.49397590361446,0.9460223484996468,48.99598393574297,1.002005211688914,38.152610441767074,0.9736668133098172
Llama 3.1 8B,45.622489959839356,33.855421686746986,0.9485250208516881,45.58232931726908,0.9982878443738429,51.445783132530124,1.0017882185606017,38.95582329317269,0.9774529590783663,55.22088353413655,0.9967287545636137,50.28112449799197,1.0021914455122178,51.76706827309236,1.0015812066461158,49.39759036144578,1.0021345444047587,49.1566265060241,1.0020647068114172,39.3574297188755,0.9792412871800314,48.07228915662651,1.0014621554188636,49.31726907630522,1.0021138522919157,35.06024096385542,0.9564237156206105,47.10843373493976,1.0005299609236085,39.75903614457831,0.9809602996075811
LLaMAX Llama 3 8B,44.133868808567605,34.2570281124498,0.9512333319470381,43.81526104417671,0.9945106474553724,51.285140562249,1.0018761856718261,43.21285140562249,0.9929309430958679,54.69879518072289,0.997771990435373,43.65461847389558,0.9941039791133126,43.77510040160642,0.9944099734290156,44.136546184738954,0.9952922349377745,46.265060240963855,0.9994072620561414,42.44979919678715,0.9907151253284275,45.58232931726908,0.998287844373843,46.54618473895582,0.999813393626119,39.196787148594375,0.9785342947722885,45.020080321285135,0.997224029676889,38.11244979919678,0.9734701300519844
LLaMAX Llama 3 8B Alpaca,45.078982597054896,35.42168674698795,0.9586620142951844,42.570281124497996,0.9910810127822824,51.445783132530124,1.001788218560602,42.610441767068274,0.9912016377459074,55.06024096385542,0.997061564958814,46.907630522088354,1.0002886789051677,50.28112449799197,1.0021914455122178,45.100401606425706,0.9973838691272299,48.795180722891565,1.0019162857624488,43.734939759036145,0.9943086374983842,47.2289156626506,1.0006669313970338,44.77911646586345,0.996728754563612,39.23694779116466,0.9787120838990107,46.42570281124498,0.9996432468510351,36.5863453815261,0.9654692765572596
Gemma 7B,42.57563587684069,33.49397590361446,0.9460223484996465,43.493975903614455,0.9936867104921834,48.63453815261044,1.0018334967148557,38.11244979919678,0.9734701300519847,52.04819277108433,1.0013660629930805,44.136546184738954,0.9952922349377749,49.75903614457831,1.0021956483068089,44.33734939759036,0.9957592660538658,47.389558232931726,1.000840465166067,40.6425702811245,0.9844999034464199,37.95180722891566,0.9726763372837143,43.25301204819277,0.993040902713945,35.42168674698795,0.9586620142951844,43.29317269076306,0.9931501976863057,36.666666666666664,0.9659161779186964
Gemma 2 9B,46.74431057563587,34.17670682730924,0.9506977398287619,49.51807228915663,1.0021607322475465,51.36546184738956,1.001833496714854,43.25301204819277,0.993040902713945,53.45381526104418,0.9998133936261167,51.40562248995983,1.0018111813088548,52.28915662650603,1.0011563747774332,47.30923694779116,1.0007549970702514,49.558232931726906,1.0021681681769348,45.58232931726908,0.9982878443738425,49.87951807228916,1.002204377131556,50.72289156626506,1.0021025361119638,44.01606425702811,0.9950040960088067,45.70281124497992,0.9984991084561275,32.93172690763052,0.9420053435910413
Qwen 1.5 7B,39.467202141900934,34.33734939759036,0.9517658993060704,40.92369477911647,0.9855567414480235,42.77108433734939,0.991677456494236,36.18473895582329,0.9631912944890748,49.07630522088353,1.002036253063136,37.8714859437751,0.9722751990000569,43.132530120481924,0.9927090290379257,38.152610441767074,0.973666813309817,38.87550200803213,0.9770869423441501,35.42168674698795,0.9586620142951847,44.21686746987952,0.9954810265102045,38.835341365461844,0.9769028875673287,33.855421686746986,0.9485250208516881,44.377510040160644,0.9958506938896475,33.97590361445783,0.9493454925438252
Qwen 2 7B,42.76840696117805,33.69477911646586,0.9474203778757714,45.46184738955824,0.9980706922977809,48.19277108433735,1.0015524156629814,36.82730923694779,0.9668013178998446,54.2570281124498,0.9985682220227452,47.2289156626506,1.0006669313970333,51.40562248995983,1.0018111813088546,44.97991967871486,0.9971431255560169,47.389558232931726,1.000840465166067,37.30923694779116,0.9693877183430439,38.273092369477915,0.9742526340884051,43.53413654618474,0.9937920221480505,34.01606425702811,0.9496174608136401,43.57429718875502,0.9938966706641335,35.381526104417674,0.958416277058284
Qwen 2.5 7B,43.30923694779116,34.377510040160644,0.952031050288293,42.851405622489956,0.9919113605650934,47.30923694779116,1.0007549970702514,41.445783132530124,0.9874311310483542,53.65461847389559,0.999526558036891,48.91566265060241,1.0019715824483486,51.566265060240966,1.0017154458106736,42.489959839357425,0.9908377568198197,47.71084337349398,1.0011563747774335,34.21686746987952,0.9509659143015624,43.333333333333336,0.9932588282324243,42.570281124497996,0.9910810127822826,34.17670682730924,0.9506977398287625,47.389558232931726,1.0008404651660665,37.630522088353416,0.9710547744216049
Marco-LLM GLO 7B,43.98661311914324,33.45381526104418,0.9457404390939166,45.502008032128515,0.998143730779726,50.401606425702816,1.00217495745559,37.34939759036144,0.9695985962219761,53.81526104417671,0.9992853579749956,50.52208835341365,1.0021526496530326,51.566265060240966,1.0017154458106743,42.128514056224894,0.9897099560589201,46.626506024096386,0.9999235684721608,34.69879518072289,0.9541251561568397,44.618473895582326,0.9963854274139159,44.81927710843374,0.9968129426909876,39.397590361445786,0.9794163014906768,45.38152610441767,0.9979226512455506,39.51807228915663,0.9799371892746732
EMMA-500 Llama 3 8B Mono,44.147255689424355,33.01204819277108,0.9425884992430713,46.06425702811245,0.9990976095711893,48.59437751004016,1.0018111813088548,37.911646586345384,0.9724761219964142,56.3855421686747,0.9940006562498613,47.42971887550201,1.0008822253312037,47.95180722891566,1.0013660629930814,45.78313253012048,0.9986366819196478,47.791164658634536,1.0012288645591787,46.14457831325301,0.9992234275993057,41.00401606425702,0.9858525713807853,44.497991967871485,0.9961210239024638,41.807228915662655,0.9886618180256044,43.092369477911646,0.9925970741520648,34.738955823293175,0.95438354093349
EMMA-500 Llama 3 8B Bi,45.15127175368139,33.93574297188755,0.9490727635646753,46.70682730923695,1.0000311392557844,50.08032128514056,1.0022059935722385,44.257028112449795,0.9955744325477469,53.69477911646586,0.9994672360002298,48.5140562248996,1.0017646084255376,48.87550200803213,1.0019537972975068,48.674698795180724,1.0018551648218457,48.15261044176707,1.0015229768356988,45.100401606425706,0.9973838691272318,45.82329317269077,0.9987044882812568,44.69879518072289,0.9965584062546172,41.285140562249,0.9868665943084413,43.57429718875502,0.9938966706641347,33.89558232931727,0.948799273220152
EMMA-500 Llama 3.1 8B Mono,39.97590361445783,34.65863453815261,0.9538660220458994,41.325301204819276,0.987008743562378,42.610441767068274,0.9912016377459077,35.622489959839356,0.9598796305792165,47.99196787148594,1.0013987419234074,42.329317269076306,0.9903432138272917,42.40963855421687,0.990591824499448,41.164658634538156,0.9864360821750341,44.57831325301205,0.9962979511168328,38.47389558232931,0.9752149307152529,37.18875502008032,0.9687507958631811,40.562248995983936,0.9841918156163165,35.9437751004016,0.9617895762902742,40.68273092369478,0.9846529240598867,34.096385542168676,0.9501591178361543
EMMA-500 Llama 3.1 8B Bi,44.66934404283801,34.21686746987952,0.9509659143015627,44.57831325301205,0.9962979511168326,49.83935742971888,1.0022021141102109,45.140562248995984,0.9974628047721992,51.84738955823293,1.0015229768357,47.83132530120482,1.001264136706551,46.70682730923695,1.0000311392557846,47.91164658634538,1.0013327358568525,48.95582329317269,1.0019887205677427,46.54618473895582,0.9998133936261191,41.726907630522085,0.9883930537517769,44.0562248995984,0.995100802781403,43.734939759036145,0.9943086374983839,41.40562248995984,0.98729101164212,35.54216867469879,0.9593947957927137
