Model,Avg,ar-acc,stderr,en-acc,stderr,es-acc,stderr,eu-acc,stderr,hi-acc,stderr,id-acc,stderr,my-acc,stderr,ru-acc,stderr,sw-acc,stderr,te-acc,stderr,zh-acc,stderr
YaYi 7B,60.67023644786717,61.81336863004633,1.250283231914689,74.3216412971542,1.1242238719725488,69.42422236929185,1.1856480568871266,56.05559232296492,1.2772408697979143,63.666446062210454,1.2377153306613273,62.40900066181337,1.2464563551981893,49.23891462607545,1.2865634571114484,52.150893448047654,1.28552142572966,53.60688285903375,1.2833602406620022,57.90866975512905,1.2705145598630687,66.77696889477167,1.212116892354459
Aya 23 8B,60.934961795319175,62.60754467240238,1.2451361842944457,74.58636664460622,1.120403952465353,67.30641958967571,1.2071771683911365,50.95962938451357,1.2864755260408958,64.26207809397751,1.2332569081974678,66.64460622104566,1.213324774783535,47.71674387822634,1.2853702384870849,68.69622766379881,1.1933732786576634,50.36399735274652,1.286678434828923,54.00397088021178,1.282580237008399,63.13699536730641,1.2415060691280353
Aya Expanse 8B,64.80356175922026,69.42422236929185,1.1856480568871266,80.41032428855063,1.0213652000943025,74.25545996029119,1.1251703806563762,51.3567174056916,1.2862387586650081,68.49768365320979,1.1954205387840944,72.46856386499007,1.1494783262044588,48.24619457313038,1.2859207453266304,73.85837193911317,1.1307789287501127,51.62144275314361,1.2860357805055858,55.12905360688286,1.2799246690109753,67.57114493712773,1.2046419229995335
Llama 3 8B,63.40773719992781,58.6366644606221,1.2673714851823759,78.6896095301125,1.053818759003458,70.61548643282595,1.1722513910985202,55.79086697551291,1.278053637027977,62.8060886829914,1.2437936235202014,65.91661151555262,1.2197767350433122,51.091992058239576,1.2864056278255038,68.76240900066182,1.192685213653966,56.386499007279944,1.2761730431435767,63.00463269358041,1.2424286002923874,65.78424884182661,1.2209152707472841
Llama 3.1 8B,63.582215269839374,59.09993381866314,1.2652228567132375,78.16015883520848,1.0632343054700495,70.81403044341495,1.1699256037649381,55.327597617471866,1.279387452673021,63.26935804103243,1.240573499395841,68.03441429516877,1.200099306329728,52.415618795499675,1.285210005730961,68.6300463269358,1.1940585179444292,55.92322964923891,1.2776518586332792,61.15155526141628,1.2543019523160333,66.57842488418267,1.2139246810918232
LLaMAX Llama 3 8B,64.31020997533241,59.9602911978822,1.2609238175551174,76.96889477167439,1.083494076481784,69.09331568497684,1.1892023305070083,59.232296492389146,1.2645876488040295,62.872270019854405,1.2433411152341698,66.77696889477167,1.2121168923544607,55.327597617471866,1.2793874526730218,68.29913964262077,1.1974424977110292,60.68828590337525,1.256970115195732,63.60026472534746,1.238198006878836,64.59298477829252,1.2306905387461629
LLaMAX Llama 3 8B Alpaca,68.26905721677397,64.72534745201854,1.2296459788853726,83.18994043679683,0.9623466950419515,72.9980145598941,1.1425228637713691,59.9602911978822,1.2609238175551178,67.50496360026472,1.205279844220021,72.40238252812706,1.1503334549850863,57.313037723362015,1.2728753181936872,72.7994705493051,1.1451551104259556,63.99735274652548,1.2352638981498538,65.18861681005956,1.2259084803727356,70.88021178027796,1.1691443511878195
Gemma 7B,65.01413874014798,60.42356055592323,1.2584415320654347,80.14559894109861,1.0265491812434229,70.61548643282595,1.1722513910985204,57.57776307081402,1.2718494399531064,64.92389146260754,1.2280597585639617,67.63732627399074,1.2040012546210332,52.28325612177366,1.285370238487085,70.54930509596294,1.173020683205202,62.14427531436135,1.2481818770003608,63.26935804103243,1.2405734993958408,65.58570483123759,1.222603292650972
Gemma 2 9B,67.67342518500692,65.25479814692257,1.22536415279353,80.14559894109861,1.0265491812434229,74.25545996029119,1.1251703806563764,60.1588352084712,1.2598743938252877,66.90933156849769,1.2108982233131473,71.34348113831899,1.1635910995502248,55.12905360688286,1.2799246690109753,73.72600926538716,1.132621785431311,63.73262739907346,1.2372301216772914,64.79152878888154,1.2291198261674583,68.96095301125082,1.1906040152499258
Qwen 1.5 7B,59.85199446483364,55.393778954334884,1.2792037953589657,78.16015883520848,1.06323430547005,68.29913964262077,1.1974424977110292,51.88616810059563,1.2857966762464992,55.65850430178689,1.2784462136657198,62.872270019854405,1.2433411152341696,49.23891462607545,1.2865634571114484,63.26935804103243,1.2405734993958408,51.68762409000662,1.2859793919977602,53.93778954334878,1.2827159238891912,67.96823295830576,1.200756550794337
Qwen 2 7B,61.46441249022321,59.9602911978822,1.2609238175551183,78.95433487756452,1.0490129361754557,69.75512905360688,1.1820217487929054,52.01853077432163,1.2856635706498292,57.974851091992065,1.2702405649149107,64.39444076770351,1.23223806372205,48.97418927862343,1.2864417047980474,69.55658504301788,1.184206214550325,51.4228987425546,1.2861913999596128,54.070152217074785,1.282442273962559,69.02713434811383,1.1899045981288765
Qwen 2.5 7B,62.06004452199024,62.40900066181337,1.2464563551981893,77.56452680344142,1.0735214264503254,69.15949702183984,1.1884972073313789,51.81998676373263,1.2858598401831847,58.702845797485104,1.2670716290966721,67.0416942422237,1.2096687350589677,50.36399735274652,1.286678434828923,69.68894771674388,1.1827528047835598,51.81998676373263,1.2858598401831847,55.85704831237591,1.2778538985880639,68.23295830575778,1.1981108837175403
Marco-LLM GLO 7B,63.87100655796883,64.72534745201854,1.229645978885373,79.74851091992058,1.0341922970686486,72.13765718067505,1.15372249080759,52.28325612177366,1.2853702384870849,61.01919258769028,1.2550764190647008,68.69622766379881,1.1933732786576634,49.04037061548643,1.286475526040896,70.41694242223693,1.174550347139259,53.67306419589676,1.283235924020697,61.548643282594306,1.2519200719073864,69.29185969556585,1.1870783739438435
EMMA-500 Llama 3 8B Mono,67.36056795619999,64.06353408338849,1.2347659802101678,76.17471872931833,1.0963165599542077,69.42422236929185,1.1856480568871266,66.71078755790867,1.212722179874373,66.04897418927862,1.2186276146659443,68.6300463269358,1.1940585179444283,60.68828590337525,1.256970115195732,69.49040370615486,1.1849285790003905,65.58570483123759,1.2226032926509722,67.0416942422237,1.2096687350589679,67.1078755790867,1.2090499234239516
EMMA-500 Llama 3 8B Bi,68.35328800914506,66.37988087359365,1.2157083081239748,75.77763070814031,1.1025298287249599,71.27729980145598,1.1643935161147867,66.64460622104566,1.2133247747835338,66.90933156849769,1.2108982233131473,69.55658504301788,1.184206214550325,63.00463269358041,1.242428600292387,70.94639311714097,1.168360093549985,67.37260092653872,1.206547462597907,67.30641958967571,1.2071771683911356,66.71078755790867,1.2127221798743735
EMMA-500 Llama 3.1 8B Mono,67.64334275916009,64.1958967571145,1.2337624883487572,75.7114493712773,1.103552772941874,70.61548643282595,1.1722513910985202,66.18133686300463,1.2174678796437401,67.17405691594969,1.208428394568668,69.62276637988087,1.1834809582513102,60.953011250827274,1.2554600076548372,70.61548643282595,1.1722513910985204,66.04897418927862,1.2186276146659447,65.91661151555262,1.2197767350433122,67.0416942422237,1.2096687350589679
EMMA-500 Llama 3.1 8B Bi,68.47361771253235,66.18133686300463,1.2174678796437401,75.11581733951026,1.1125996404127687,71.34348113831899,1.1635910995502246,66.44606221045665,1.2151164438163906,67.76968894771674,1.202711658810771,70.68166776968894,1.171479117762578,62.54136333553938,1.245578725485248,71.409662475182,1.1627856346940617,67.50496360026472,1.2052798442200219,66.57842488418267,1.2139246810918227,67.63732627399074,1.2040012546210337
