Model,Avg_flexible,bn,bn-stderr,de,de-stderr,en,en-stderr,es,es-stderr,fr,fr-stderr,ja,ja-stderr,ru,ru-stderr,sw,sw-stderr,te,te-stderr,th,th-stderr,zh,zh-stderr
EMMA-500 Llama 2 7B,17.018181818181823,8.799999999999999,1.7953084777052912,23.200000000000003,2.6750070374865156,34.0,3.002007360545791,28.000000000000004,2.845414827783232,25.6,2.7657108718204912,9.2,1.8316275379429643,22.8,2.6587432487268488,16.8,2.3692813205492587,2.4,0.9699087026964263,10.0,1.9011727515734367,6.4,1.5510587134374145
Occiglot Mistral 7B v0.1,13.309090909090912,3.2,1.1153546809230828,21.2,2.590188469054117,30.0,2.9040893477575858,27.200000000000003,2.820008829631,21.6,2.607865766373272,6.4,1.5510587134374145,15.2,2.2752024491765463,2.4,0.9699087026964254,1.6,0.7951661188874322,8.0,1.7192507941462976,9.6,1.8668961419477166
Occiglot Mistral 7B v0.1 Instruct,22.763636363636365,4.8,1.354688422808571,34.0,3.0020073605457904,46.400000000000006,3.1603975145223737,40.0,3.1046021028253246,31.6,2.946265759857866,18.4,2.4555812994222563,23.599999999999998,2.6909337594953855,6.4,1.5510587134374134,2.8000000000000003,1.0454721651927317,11.200000000000001,1.998553693917145,31.2,2.9361067575219817
BLOOM 7B,2.8727272727272726,2.4,0.9699087026964237,1.6,0.795166118887434,4.0,1.2418408411301307,3.5999999999999996,1.1805655169278133,1.2,0.6900323023694265,2.0,0.8872139507342682,3.5999999999999996,1.1805655169278133,4.0,1.2418408411301305,3.5999999999999996,1.1805655169278133,2.0,0.8872139507342681,3.5999999999999996,1.1805655169278133
BLOOMZ 7B,2.5454545454545454,3.2,1.1153546809230832,1.6,0.7951661188874322,3.5999999999999996,1.1805655169278133,2.4,0.9699087026964235,3.2,1.1153546809230823,2.8000000000000003,1.0454721651927317,3.5999999999999996,1.1805655169278133,2.8000000000000003,1.0454721651927312,1.2,0.6900323023694303,1.2,0.6900323023694296,2.4,0.9699087026964268
YaYi 7B,2.7636363636363637,2.4,0.9699087026964246,2.0,0.8872139507342682,6.0,1.505011707915874,2.4,0.9699087026964228,5.6000000000000005,1.4570697336899596,1.6,0.7951661188874319,1.2,0.6900323023694267,1.2,0.6900323023694308,2.4,0.9699087026964234,0.8,0.5645483676690153,4.8,1.3546884228085683
Aya 23 8B,22.290909090909096,3.2,1.1153546809230832,37.2,3.0630325944558314,50.0,3.1686212526223896,41.199999999999996,3.1191596026022896,39.2,3.0938207620401204,27.6,2.8328537274211354,34.0,3.0020073605457904,2.8000000000000003,1.045472165192729,0.8,0.5645483676690155,4.3999999999999995,1.299737384657499,4.8,1.3546884228085696
Aya Expanse 8B,43.01818181818181,22.400000000000002,2.642136168734791,69.19999999999999,2.9256928606501864,78.4,2.6078657663732727,72.0,2.8454148277832325,63.6,3.049155522040556,50.8,3.16821564314138,69.6,2.9150213374159675,12.8,2.117208133633648,5.2,1.4070391025641649,21.6,2.607865766373273,7.6,1.6793573067859673
Llama 3 8B,27.45454545454545,17.599999999999998,2.413349752545711,39.6,3.099319785457785,50.8,3.16821564314138,47.199999999999996,3.1636489531544396,36.4,3.049155522040556,3.5999999999999996,1.1805655169278133,37.6,3.069633626739459,24.0,2.7065293652239006,5.6000000000000005,1.45706973368996,36.8,3.0562070620993165,2.8000000000000003,1.0454721651927286
Llama 3.1 8B,28.363636363636363,20.0,2.5348970020979085,41.199999999999996,3.11915960260229,55.2,3.1514387611153514,48.4,3.1669985030107415,38.4,3.0821679117375376,3.5999999999999996,1.1805655169278133,40.0,3.104602102825324,20.8,2.572139890141639,4.3999999999999995,1.299737384657495,37.6,3.069633626739458,2.4,0.9699087026964246
LLaMAX Llama 3 8B,20.8,13.200000000000001,2.1450980824038104,20.4,2.5537121574548185,24.4,2.7217995464553177,26.0,2.7797315752644307,22.0,2.625179282460584,20.8,2.572139890141639,22.8,2.658743248726848,21.2,2.5901884690541155,6.800000000000001,1.5953748410747026,26.8,2.8068762382526686,24.4,2.721799546455318
LLaMAX Llama 3 8B Alpaca,14.181818181818182,12.0,2.0593600596839954,17.599999999999998,2.413349752545711,25.2,2.751385193303135,17.2,2.391551394448622,17.2,2.391551394448622,11.200000000000001,1.9985536939171469,15.6,2.2995023034068742,10.8,1.9669559381568755,6.0,1.5050117079158738,12.8,2.11720813363365,10.4,1.9345100974843896
Gemma 7B,38.21818181818182,34.4,3.0104503392316384,44.800000000000004,3.151438761115355,58.8,3.1191596026022896,48.0,3.1660853408495186,39.6,3.099319785457785,16.8,2.369281320549259,41.199999999999996,3.1191596026022896,37.6,3.069633626739458,27.200000000000003,2.820008829630999,42.8,3.135596892377261,29.2,2.881432040220564
Gemma 2 9B,32.94545454545454,29.599999999999998,2.8928939388379633,40.400000000000006,3.1096688184825294,56.39999999999999,3.1425567060281283,50.8,3.16821564314138,36.0,3.0418764025174996,1.2,0.6900323023694275,35.199999999999996,3.026628805735994,37.6,3.0696336267394586,30.8,2.9256928606501864,40.0,3.1046021028253246,4.3999999999999995,1.2997373846574967
Qwen 1.5 7B,31.563636363636366,12.4,2.0886382258673257,44.0,3.1457244522235723,55.2,3.1514387611153514,48.4,3.1669985030107415,45.2,3.153986449255662,16.8,2.3692813205492587,43.2,3.1391810765429407,7.199999999999999,1.6381005750490105,4.0,1.24184084113013,28.4,2.8576958730437414,42.4,3.131803437491615
Qwen 2 7B,48.945454545454545,44.4,3.148684942554575,65.60000000000001,3.010450339231639,80.80000000000001,2.4960691989172012,76.0,2.706529365223901,69.6,2.9150213374159675,1.6,0.7951661188874332,67.2,2.975239182447538,16.0,2.323271478206066,14.799999999999999,2.2503547243806143,56.00000000000001,3.145724452223564,46.400000000000006,3.1603975145223737
Qwen 2.5 7B,53.781818181818174,26.8,2.806876238252669,63.2,3.0562070620993165,83.2,2.36928132054926,74.0,2.7797315752644303,66.4,2.9933259094191516,52.400000000000006,3.164968895968782,72.8,2.8200088296310004,20.0,2.534897002097908,8.0,1.719250794146299,61.6,3.0821679117375376,63.2,3.0562070620993165
Marco-LLM GLO 7B,51.85454545454545,31.6,2.946265759857868,64.4,3.034368065715322,77.60000000000001,2.6421361687347904,71.2,2.869700458739822,63.2,3.0562070620993165,50.4,3.168519855119915,63.6,3.049155522040556,18.0,2.434689065029352,11.600000000000001,2.0293429803083853,48.8,3.167708558254709,70.0,2.904089347757586
EMMA-500 Llama 3 8B Mono,23.527272727272734,20.0,2.5348970020979085,30.0,2.904089347757585,36.0,3.0418764025174982,34.8,3.0186568464511696,30.0,2.904089347757585,3.2,1.1153546809230832,33.2,2.9844039047465905,33.2,2.9844039047465887,12.0,2.059360059683994,23.599999999999998,2.690933759495386,2.8000000000000003,1.0454721651927317
EMMA-500 Llama 3 8B Bi,23.490909090909096,21.2,2.590188469054116,30.8,2.9256928606501864,35.6,3.0343680657153214,36.8,3.0562070620993165,34.0,3.0020073605457904,2.8000000000000003,1.0454721651927317,30.4,2.9150213374159675,30.0,2.9040893477575844,10.8,1.9669559381568753,22.8,2.658743248726848,3.2,1.1153546809230823
EMMA-500 Llama 3.1 8B Mono,24.94545454545454,21.2,2.5901884690541155,34.8,3.01865684645117,39.6,3.099319785457785,35.6,3.0343680657153214,33.2,2.984403904746591,1.2,0.6900323023694297,34.8,3.018656846451169,36.8,3.0562070620993165,11.200000000000001,1.9985536939171444,23.599999999999998,2.690933759495384,2.4,0.9699087026964256
EMMA-500 Llama 3.1 8B Bi,23.85454545454546,20.8,2.572139890141639,38.0,3.0760116042626042,33.2,2.98440390474659,39.6,3.0993197854577854,32.4,2.965829492454557,2.0,0.8872139507342685,28.4,2.857695873043741,27.200000000000003,2.8200088296309995,11.200000000000001,1.9985536939171444,28.000000000000004,2.8454148277832316,1.6,0.7951661188874342
