Model,Avg,et-acc,stderr,ht-acc,stderr,id-acc,stderr,it-acc,stderr,qu-acc,stderr,sw-acc,stderr,ta-acc,stderr,th-acc,stderr,tr-acc,stderr,vi-acc,stderr,zh-acc,stderr
EMMA-500 Llama 2 7B,63.1090909090909,61.4,2.1793529219281167,57.99999999999999,2.209471322976178,74.2,1.958671178521584,69.39999999999999,2.06295699983454,52.400000000000006,2.23572738810164,66.2,2.117566569520941,60.0,2.1930844120728503,55.60000000000001,2.224224437573102,62.0,2.1728881438701713,70.19999999999999,2.0475118092988955,64.8,2.1380042385946045
Occiglot Mistral 7B v0.1,56.67272727272727,47.199999999999996,2.2347949832668093,51.4,2.2374298166353186,56.99999999999999,2.2162634426652836,74.6,1.948659680164338,52.0,2.2365160424231334,51.6,2.23716109825804,57.199999999999996,2.214979066386192,55.800000000000004,2.2231970696321124,54.400000000000006,2.2296238348407056,55.2,2.226169729227013,67.0,2.1049612166134817
Occiglot Mistral 7B v0.1 Instruct,56.54545454545455,46.800000000000004,2.2337186479044293,51.0,2.237859698923078,58.4,2.2064943313928866,73.8,1.9684688820194707,52.800000000000004,2.2347949832668093,50.0,2.2383074051792256,56.599999999999994,2.2187215803029003,55.00000000000001,2.2270877485360434,56.2,2.2210326363977417,55.800000000000004,2.2231970696321124,65.60000000000001,2.126575803797874
BLOOM 7B,56.89090909090909,48.199999999999996,2.2368565117387993,50.8,2.2380208834928035,69.8,2.0553269174209197,52.800000000000004,2.234794983266809,50.8,2.238020883492803,51.800000000000004,2.2368565117387993,59.199999999999996,2.2000910893877195,55.400000000000006,2.2252153078595898,51.0,2.237859698923078,70.8,2.0354375480530074,65.2,2.1323728632807497
BLOOMZ 7B,54.872727272727275,49.2,2.2380208834928035,54.0,2.231133324528966,60.6,2.187429930168925,51.4,2.2374298166353195,50.6,2.2381462412439324,53.400000000000006,2.233126442325838,57.4,2.213657733508563,53.0,2.234274819250284,52.2,2.2361396739207873,59.8,2.1948929609938608,62.0,2.1728881438701713
YaYi 7B,56.63636363636364,50.4,2.238235778196213,53.0,2.2342748192502846,63.4,2.1564276850201614,51.800000000000004,2.2368565117387993,51.800000000000004,2.2368565117387993,55.400000000000006,2.2252153078595898,56.2,2.2210326363977417,54.6,2.228814759117695,52.0,2.2365160424231334,66.4,2.114479142504886,68.0,2.0882340488761812
Aya 23 8B,55.127272727272725,50.2,2.2382894986483524,52.2,2.2361396739207877,56.99999999999999,2.2162634426652836,60.4,2.189352994166581,50.4,2.2382357781962128,52.2,2.236139673920786,55.60000000000001,2.2242244375731026,52.6,2.2352791650914154,59.599999999999994,2.1966635293832923,58.8,2.203367799374086,57.4,2.2136577335085637
Aya Expanse 8B,56.38181818181819,50.8,2.238020883492803,51.6,2.23716109825804,61.199999999999996,2.181430098478763,63.4,2.156427685020162,51.6,2.23716109825804,53.6,2.2324981738385246,55.2,2.226169729227013,50.2,2.2382894986483524,57.8,2.2109039310618552,60.199999999999996,2.1912377885779977,64.60000000000001,2.140758204791645
Llama 3 8B,61.70909090909091,53.400000000000006,2.233126442325838,52.800000000000004,2.2347949832668093,71.39999999999999,2.0229346329177518,71.6,2.018670369357084,51.2,2.237662679792717,57.99999999999999,2.209471322976178,60.0,2.1930844120728503,58.599999999999994,2.204949796982787,62.4,2.168382753928611,71.6,2.0186703693570855,67.80000000000001,2.0916668330019887
Llama 3.1 8B,61.70909090909091,53.0,2.2342748192502846,53.800000000000004,2.231833811987053,71.6,2.0186703693570855,72.6,1.9966103540279474,48.8,2.237662679792717,55.400000000000006,2.2252153078595898,61.199999999999996,2.181430098478763,57.8,2.2109039310618552,61.8,2.1750820591250832,72.39999999999999,2.001121929807353,70.39999999999999,2.0435342091896134
LLaMAX Llama 3 8B,63.03636363636363,61.8,2.1750820591250837,56.39999999999999,2.21989546414768,73.0,1.9874354831287486,68.4,2.081235951585586,50.6,2.2381462412439324,62.6,2.166071034720449,60.8,2.1854684955611274,59.199999999999996,2.200091089387719,61.4,2.179352921928116,70.39999999999999,2.0435342091896134,68.8,2.0740596536488085
LLaMAX Llama 3 8B Alpaca,64.36363636363637,63.0,2.1613289165165783,54.0,2.2311333245289666,73.0,1.9874354831287495,71.8,2.014357284729079,52.0,2.2365160424231334,63.4,2.1564276850201614,63.2,2.158898256835355,61.199999999999996,2.1814300984787636,64.0,2.1487751089720515,71.8,2.0143572847290785,70.6,2.0395095484936596
Gemma 7B,63.636363636363626,59.199999999999996,2.200091089387719,54.800000000000004,2.227969410784342,72.0,2.0099950647503233,72.8,1.9920483209566082,50.0,2.2383074051792256,60.6,2.187429930168925,61.6,2.1772369465547206,60.4,2.1893529941665815,65.60000000000001,2.126575803797874,74.2,1.958671178521584,68.8,2.074059653648808
Gemma 2 9B,66.32727272727273,63.800000000000004,2.1513662527582404,52.800000000000004,2.2347949832668093,77.8,1.860441475825008,75.8,1.9173085678337163,50.4,2.238235778196213,63.800000000000004,2.1513662527582404,63.6,2.1539170637317704,63.800000000000004,2.1513662527582404,67.4,2.0984009562393555,76.6,1.8952741564893676,73.8,1.968468882019471
Qwen 1.5 7B,59.43636363636363,52.0,2.2365160424231334,53.0,2.2342748192502846,64.4,2.1434712356072643,65.2,2.13237286328075,51.0,2.237859698923078,52.6,2.2352791650914168,55.800000000000004,2.2231970696321124,57.599999999999994,2.2122993778135402,58.8,2.203367799374086,69.19999999999999,2.0667032987466105,74.2,1.9586711785215836
Qwen 2 7B,60.30909090909091,50.8,2.238020883492803,50.8,2.238020883492803,70.6,2.0395095484936614,71.39999999999999,2.022934632917752,50.4,2.238235778196213,52.400000000000006,2.23572738810164,52.800000000000004,2.2347949832668093,61.0,2.1834685869369213,57.199999999999996,2.214979066386192,69.39999999999999,2.062956999834541,76.6,1.8952741564893678
Qwen 2.5 7B,61.70909090909091,49.4,2.2381462412439324,52.800000000000004,2.234794983266809,72.6,1.9966103540279452,74.6,1.9486596801643374,49.8,2.2382894986483524,52.2,2.236139673920786,54.6,2.2288147591176943,58.199999999999996,2.208001481222814,60.0,2.1930844120728503,75.2,1.9332342821239104,79.4,1.8104794037333543
Marco-LLM GLO 7B,62.45454545454545,49.6,2.238235778196214,52.400000000000006,2.23572738810164,74.2,1.958671178521584,73.4,1.9780559675655487,51.6,2.2371610982580394,54.400000000000006,2.2296238348407056,57.199999999999996,2.214979066386192,58.8,2.2033677993740866,66.4,2.114479142504887,73.8,1.9684688820194733,75.2,1.9332342821239104
EMMA-500 Llama 3 8B Mono,66.2,70.8,2.035437548053006,61.8,2.175082059125084,75.0,1.9384310743640383,73.4,1.9780559675655482,54.0,2.2311333245289666,67.60000000000001,2.0950557312477436,61.8,2.1750820591250832,60.199999999999996,2.191237788577998,64.0,2.1487751089720515,73.0,1.987435483128749,66.60000000000001,2.1113492347743725
EMMA-500 Llama 3 8B Bi,66.81818181818183,71.39999999999999,2.0229346329177518,60.8,2.185468495561125,78.0,1.8544211375820328,73.4,1.9780559675655482,51.800000000000004,2.2368565117387993,68.2,2.0847571620814005,63.4,2.1564276850201614,58.199999999999996,2.208001481222814,66.60000000000001,2.1113492347743725,73.2,1.982771485958757,70.0,2.0514426225628055
EMMA-500 Llama 3.1 8B Mono,65.38181818181819,65.2,2.13237286328075,59.0,2.201748257812768,76.0,1.9118866653759738,73.0,1.987435483128749,53.0,2.2342748192502846,68.4,2.081235951585586,62.4,2.168382753928611,59.8,2.194892960993861,62.8,2.16371979857224,74.6,1.9486596801643379,65.0,2.1352091786223104
EMMA-500 Llama 3.1 8B Bi,67.25454545454544,70.39999999999999,2.0435342091896134,61.0,2.183468586936921,77.0,1.8839050391123129,74.6,1.9486596801643385,51.800000000000004,2.2368565117387993,69.6,2.059164957122493,63.2,2.158898256835355,59.8,2.194892960993861,67.2,2.1017027165175493,74.6,1.9486596801643374,70.6,2.03950954849366
