Model,Avg,hne_Deva-eng_Latn,acm_Arab-eng_Latn,hau_Latn-eng_Latn,aka_Latn-eng_Latn,gla_Latn-eng_Latn,wol_Latn-eng_Latn,tsn_Latn-eng_Latn,luo_Latn-eng_Latn,por_Latn-eng_Latn,bam_Latn-eng_Latn,ltz_Latn-eng_Latn,deu_Latn-eng_Latn,sin_Sinh-eng_Latn,ces_Latn-eng_Latn,som_Latn-eng_Latn,ewe_Latn-eng_Latn,arb_Latn-eng_Latn,ukr_Cyrl-eng_Latn,sot_Latn-eng_Latn,lin_Latn-eng_Latn,shn_Mymr-eng_Latn,gaz_Latn-eng_Latn,snd_Arab-eng_Latn,hrv_Latn-eng_Latn,min_Latn-eng_Latn,fao_Latn-eng_Latn,ayr_Latn-eng_Latn,nld_Latn-eng_Latn,knc_Arab-eng_Latn,apc_Arab-eng_Latn,pag_Latn-eng_Latn,nno_Latn-eng_Latn,khm_Khmr-eng_Latn,quy_Latn-eng_Latn,nya_Latn-eng_Latn,ars_Arab-eng_Latn,hun_Latn-eng_Latn,hat_Latn-eng_Latn,sun_Latn-eng_Latn,azj_Latn-eng_Latn,dan_Latn-eng_Latn,ary_Arab-eng_Latn,bel_Cyrl-eng_Latn,san_Deva-eng_Latn,guj_Gujr-eng_Latn,tel_Telu-eng_Latn,rus_Cyrl-eng_Latn,lmo_Latn-eng_Latn,ydd_Hebr-eng_Latn,ssw_Latn-eng_Latn,tpi_Latn-eng_Latn,smo_Latn-eng_Latn,kon_Latn-eng_Latn,grn_Latn-eng_Latn,hye_Armn-eng_Latn,umb_Latn-eng_Latn,mlt_Latn-eng_Latn,kat_Geor-eng_Latn,ltg_Latn-eng_Latn,kas_Deva-eng_Latn,asm_Beng-eng_Latn,fra_Latn-eng_Latn,tir_Ethi-eng_Latn,pes_Arab-eng_Latn,npi_Deva-eng_Latn,jpn_Jpan-eng_Latn,arb_Arab-eng_Latn,taq_Latn-eng_Latn,szl_Latn-eng_Latn,khk_Cyrl-eng_Latn,kam_Latn-eng_Latn,kea_Latn-eng_Latn,yue_Hant-eng_Latn,sag_Latn-eng_Latn,zho_Hant-eng_Latn,tum_Latn-eng_Latn,amh_Ethi-eng_Latn,swe_Latn-eng_Latn,epo_Latn-eng_Latn,ckb_Arab-eng_Latn,uzn_Latn-eng_Latn,pap_Latn-eng_Latn,urd_Arab-eng_Latn,mar_Deva-eng_Latn,ace_Latn-eng_Latn,bak_Cyrl-eng_Latn,ast_Latn-eng_Latn,tuk_Latn-eng_Latn,ell_Grek-eng_Latn,awa_Deva-eng_Latn,pol_Latn-eng_Latn,uig_Arab-eng_Latn,slk_Latn-eng_Latn,mos_Latn-eng_Latn,ace_Arab-eng_Latn,nso_Latn-eng_Latn,gle_Latn-eng_Latn,srp_Cyrl-eng_Latn,tgl_Latn-eng_Latn,lus_Latn-eng_Latn,taq_Tfng-eng_Latn,tur_Latn-eng_Latn,arz_Arab-eng_Latn,srd_Latn-eng_Latn,glg_Latn-eng_Latn,crh_Latn-eng_Latn,tha_Thai-eng_Latn,kik_Latn-eng_Latn,oci_Latn-eng_Latn,dyu_Latn-eng_Latn,kan_Knda-eng_Latn,cym_Latn-eng_Latn,bod_Tibt-eng_Latn,ben_Beng-eng_Latn,mni_Beng-eng_Latn,cjk_Latn-eng_Latn,ory_Orya-eng_Latn,hin_Deva-eng_Latn,als_Latn-eng_Latn,nus_Latn-eng_Latn,plt_Latn-eng_Latn,ajp_Arab-eng_Latn,mal_Mlym-eng_Latn,yor_Latn-eng_Latn,kas_Arab-eng_Latn,lvs_Latn-eng_Latn,fon_Latn-eng_Latn,run_Latn-eng_Latn,ban_Latn-eng_Latn,bho_Deva-eng_Latn,fur_Latn-eng_Latn,kab_Latn-eng_Latn,bjn_Latn-eng_Latn,eus_Latn-eng_Latn,spa_Latn-eng_Latn,ind_Latn-eng_Latn,tzm_Tfng-eng_Latn,min_Arab-eng_Latn,lim_Latn-eng_Latn,vec_Latn-eng_Latn,fij_Latn-eng_Latn,mri_Latn-eng_Latn,kaz_Cyrl-eng_Latn,est_Latn-eng_Latn,sat_Olck-eng_Latn,kac_Latn-eng_Latn,mag_Deva-eng_Latn,bug_Latn-eng_Latn,pan_Guru-eng_Latn,zul_Latn-eng_Latn,prs_Arab-eng_Latn,dik_Latn-eng_Latn,kmb_Latn-eng_Latn,lug_Latn-eng_Latn,kbp_Latn-eng_Latn,jav_Latn-eng_Latn,tam_Taml-eng_Latn,kor_Hang-eng_Latn,bos_Latn-eng_Latn,sna_Latn-eng_Latn,afr_Latn-eng_Latn,lao_Laoo-eng_Latn,mai_Deva-eng_Latn,azb_Arab-eng_Latn,vie_Latn-eng_Latn,ilo_Latn-eng_Latn,tgk_Cyrl-eng_Latn,heb_Hebr-eng_Latn,kir_Cyrl-eng_Latn,dzo_Tibt-eng_Latn,isl_Latn-eng_Latn,fuv_Latn-eng_Latn,kin_Latn-eng_Latn,knc_Latn-eng_Latn,zho_Hans-eng_Latn,acq_Arab-eng_Latn,mya_Mymr-eng_Latn,lij_Latn-eng_Latn,cat_Latn-eng_Latn,ron_Latn-eng_Latn,aeb_Arab-eng_Latn,nob_Latn-eng_Latn,bem_Latn-eng_Latn,scn_Latn-eng_Latn,ita_Latn-eng_Latn,pbt_Arab-eng_Latn,ibo_Latn-eng_Latn,xho_Latn-eng_Latn,kmr_Latn-eng_Latn,tat_Cyrl-eng_Latn,bul_Cyrl-eng_Latn,lit_Latn-eng_Latn,war_Latn-eng_Latn,twi_Latn-eng_Latn,slv_Latn-eng_Latn,ceb_Latn-eng_Latn,zsm_Latn-eng_Latn,fin_Latn-eng_Latn,lua_Latn-eng_Latn,bjn_Arab-eng_Latn,mkd_Cyrl-eng_Latn,tso_Latn-eng_Latn,swh_Latn-eng_Latn
bloom-7b1,27.84,42.69,48.99,17.59,19.29,16.37,20.77,18.47,18.08,64.61,16.57,33.30,50.42,13.23,30.71,17.48,16.99,14.90,32.71,17.30,20.46,15.31,13.69,17.64,31.35,31.79,22.81,16.83,39.68,12.85,50.22,27.89,37.02,16.39,16.23,19.39,53.16,20.92,25.20,33.15,18.61,41.39,40.36,20.63,23.72,43.93,41.51,41.28,38.95,14.38,16.65,24.43,17.23,18.95,21.32,14.84,16.38,24.66,14.62,20.15,20.71,37.76,61.83,12.05,26.53,45.18,36.52,53.73,16.01,27.46,15.01,18.23,38.51,47.18,17.67,45.67,18.43,12.69,40.21,40.77,14.39,16.67,37.69,43.22,42.98,23.45,15.77,53.71,18.58,24.96,44.64,31.90,14.50,29.47,16.53,12.93,18.66,18.30,29.29,26.51,20.67,12.67,22.89,47.45,39.66,57.85,17.74,15.37,18.72,60.16,16.39,39.41,17.22,13.14,45.23,16.27,17.79,40.00,48.81,25.25,13.38,19.21,52.15,39.73,20.96,23.84,21.90,15.35,19.72,28.63,39.22,39.65,13.87,35.23,44.74,53.92,57.48,13.47,13.42,31.34,44.20,16.96,15.37,16.55,21.42,12.95,16.81,45.30,23.94,43.65,16.96,28.00,17.21,17.04,18.90,15.66,33.78,38.80,23.57,32.68,18.85,38.69,15.07,42.41,16.50,52.94,24.14,16.95,19.16,16.34,12.65,21.67,16.08,21.19,17.48,46.75,50.80,13.95,41.26,62.51,42.91,44.34,37.14,18.90,35.85,52.20,18.95,20.23,17.92,17.89,16.29,33.49,22.52,27.84,18.99,26.85,27.79,55.19,20.52,19.46,13.20,29.76,18.17,46.29
bloomz-7b1,34.74,60.04,63.13,18.81,29.03,18.10,29.62,38.04,20.98,76.77,25.93,33.45,63.18,13.52,33.15,18.23,19.16,16.78,35.17,44.44,46.44,14.46,15.55,17.09,30.53,38.95,23.58,18.42,45.76,13.99,66.75,27.98,38.56,16.69,19.15,37.18,70.71,22.08,25.30,35.19,19.41,45.65,53.12,18.80,31.66,65.47,67.62,52.05,41.37,15.19,27.18,27.30,18.99,23.05,23.30,15.22,19.66,25.86,14.89,20.16,22.42,62.85,75.21,13.75,28.90,69.77,49.21,71.87,17.87,28.16,15.39,23.40,41.90,65.05,20.90,66.09,34.99,13.96,44.53,41.58,15.10,17.27,41.10,67.92,67.93,27.36,17.01,67.43,19.07,24.62,63.87,34.18,14.93,29.71,18.44,13.56,48.07,19.05,31.44,25.81,23.19,12.60,24.66,63.70,40.96,71.20,20.21,17.08,35.31,73.57,20.03,64.21,19.79,12.94,67.19,17.30,20.76,65.85,70.86,25.12,16.14,19.72,68.75,64.37,34.31,25.72,20.39,21.35,35.88,30.28,56.36,42.73,15.44,42.18,62.70,67.04,74.11,12.64,14.06,31.78,49.17,19.50,17.62,16.94,20.95,12.22,18.95,65.95,24.88,70.56,38.14,29.37,19.67,20.99,27.44,18.28,36.26,59.78,26.16,32.49,31.43,40.09,15.30,62.59,14.59,71.59,25.40,16.74,19.04,16.28,12.55,21.96,19.34,40.61,20.59,66.03,66.07,13.16,44.40,76.79,49.35,59.72,42.35,25.27,36.73,63.88,18.95,38.96,30.89,19.35,17.39,35.00,21.74,30.10,29.65,25.69,27.71,72.07,20.41,23.88,13.74,30.81,37.16,58.99
mGPT,20.69,15.85,31.63,13.12,14.36,12.19,13.65,13.47,14.34,53.43,13.82,20.45,50.39,0.01,29.11,13.57,13.82,12.47,44.00,14.01,16.02,0.62,12.95,14.12,24.00,19.40,15.50,14.30,45.21,9.43,29.89,16.38,39.30,0.04,14.76,15.09,36.24,36.74,14.26,18.26,23.83,53.54,25.09,30.52,10.50,0.06,11.77,44.53,23.34,12.34,13.67,17.29,13.02,15.13,15.24,0.27,13.68,16.12,29.82,18.39,9.28,8.21,52.60,0.55,36.71,11.31,29.77,36.56,13.60,28.26,14.18,14.28,23.51,35.30,13.92,34.12,14.43,0.54,53.04,20.60,9.14,27.61,21.05,29.93,12.70,15.33,13.57,39.64,18.70,42.17,17.92,41.81,7.71,28.53,13.20,11.85,14.55,13.22,25.78,23.50,15.60,0.35,34.54,30.26,22.28,43.19,24.06,28.50,14.09,36.92,13.45,0.06,12.80,0.09,15.33,7.12,14.13,0.01,24.09,15.50,11.03,13.11,32.74,7.55,13.91,13.12,37.10,12.47,14.55,17.09,15.58,24.69,11.85,20.83,32.72,45.78,46.12,0.37,11.80,26.79,32.36,13.60,13.18,19.77,15.68,0.17,14.24,16.90,15.58,0.06,13.87,35.07,14.17,14.47,13.91,6.62,17.71,8.74,30.72,27.14,13.58,51.66,0.11,15.92,14.15,40.91,15.41,22.05,36.55,21.66,0.10,15.15,13.24,13.72,14.25,34.83,33.33,7.60,24.90,43.83,49.60,29.37,46.03,15.44,21.12,46.46,13.67,12.96,14.80,13.75,23.59,46.48,36.20,18.18,15.21,22.23,17.37,43.39,36.07,14.74,12.36,32.07,14.10,33.99
mGPT-13B,24.58,23.68,38.13,15.08,15.67,13.48,15.14,14.35,13.87,59.34,13.74,23.38,53.62,0.03,43.22,13.98,13.80,13.10,48.29,14.67,16.08,1.17,13.37,16.53,39.46,22.38,21.54,14.95,48.33,9.92,36.93,19.16,47.68,0.27,15.78,15.76,41.73,42.60,16.16,22.16,30.87,57.17,28.09,39.25,15.52,0.21,23.27,48.50,27.81,12.60,14.72,14.42,13.32,16.17,15.75,1.07,15.52,19.68,34.00,23.37,15.07,15.37,55.16,2.43,39.45,20.16,33.57,41.91,15.55,32.08,21.75,15.35,22.34,37.87,14.88,37.97,16.91,2.01,57.53,33.31,12.08,32.50,25.65,34.42,27.26,18.45,27.93,45.43,20.89,45.83,26.78,44.39,7.61,40.22,14.47,11.16,15.27,15.00,37.80,35.46,16.96,3.86,38.25,35.68,26.88,50.30,24.08,32.16,14.90,42.59,13.90,0.03,15.28,0.15,25.49,12.22,15.31,0.02,32.95,26.75,11.68,14.51,37.78,15.30,14.05,17.76,44.67,11.83,15.61,19.68,25.31,25.52,12.22,23.03,38.34,48.39,51.08,5.36,12.30,32.57,35.04,14.29,14.07,31.93,27.37,0.05,14.52,26.58,16.10,0.43,13.77,38.12,14.93,15.04,15.42,9.89,22.98,20.05,34.17,43.46,15.29,58.03,0.68,24.06,15.64,45.36,18.16,34.48,45.44,29.78,0.03,19.05,13.37,15.61,14.83,38.01,40.52,14.13,27.26,51.20,51.75,33.00,50.56,16.53,23.57,50.62,16.15,14.33,15.36,16.44,32.66,50.91,41.62,21.44,16.23,35.31,22.54,49.51,42.11,15.98,12.00,41.07,15.75,40.77
yayi-7b-llama2,31.38,30.83,39.76,19.86,22.75,26.79,21.18,19.80,20.92,66.47,18.97,38.58,62.08,16.12,58.65,19.92,18.73,21.23,58.59,21.23,21.22,15.70,16.97,19.17,57.08,32.52,33.53,19.06,54.58,13.77,38.73,31.39,59.68,16.57,21.02,21.59,43.27,52.92,27.65,31.25,27.12,65.44,32.09,35.10,19.70,16.00,16.24,56.30,42.89,19.65,20.27,32.24,21.85,21.79,24.76,20.36,19.07,37.56,25.91,25.72,20.86,20.25,63.84,12.29,40.12,28.94,46.20,44.06,20.23,44.00,18.73,20.52,38.53,49.56,20.97,46.99,21.10,14.22,65.07,50.04,17.64,22.86,41.61,29.19,25.21,26.69,24.18,54.28,22.39,45.36,33.31,52.43,15.84,53.99,19.83,15.34,21.63,31.26,60.96,49.26,24.20,13.15,41.86,37.71,41.02,58.25,28.26,31.27,21.47,59.60,19.12,15.38,31.49,12.94,25.67,14.99,19.98,14.76,40.80,31.55,17.11,21.49,39.08,17.86,19.76,19.25,30.53,18.25,19.85,31.59,29.77,41.73,16.24,32.69,23.53,55.54,59.62,13.95,15.29,44.25,50.11,21.05,25.23,22.68,31.53,11.05,20.15,33.37,25.54,16.56,20.01,38.51,20.83,19.52,20.23,18.36,29.91,18.59,46.99,60.09,20.83,63.78,16.84,30.21,19.98,53.08,30.21,20.63,37.12,22.59,12.03,32.64,19.55,19.96,21.32,48.79,41.40,13.78,45.24,64.39,61.64,35.99,61.73,21.98,40.00,57.64,21.12,19.09,21.96,21.10,24.12,59.69,29.35,38.16,22.34,54.38,38.27,55.77,53.41,21.46,14.79,54.15,21.01,25.10
yayi-7b,21.36,37.99,54.39,11.60,11.68,10.57,18.19,16.75,13.36,61.17,11.52,16.95,22.32,10.54,10.41,13.87,9.25,14.40,15.91,17.57,22.00,11.62,11.44,12.00,16.49,20.81,15.43,14.56,13.53,12.84,56.09,20.20,23.54,15.36,17.46,25.83,62.56,9.26,15.05,20.32,14.41,15.97,41.66,10.38,30.45,26.15,62.65,15.70,16.73,8.15,22.46,20.89,12.96,12.00,19.40,13.85,13.34,17.91,8.81,12.44,21.01,50.96,57.26,11.64,16.14,47.31,24.37,62.16,14.03,16.94,11.17,9.57,14.95,47.16,12.90,48.12,28.83,12.52,24.51,17.75,7.81,14.46,20.67,17.93,55.04,14.91,9.52,37.96,14.90,9.48,44.29,14.07,9.69,18.03,10.16,10.16,17.45,10.47,12.66,17.05,16.68,8.58,12.16,49.27,23.82,43.50,14.85,14.21,19.20,38.79,10.53,17.58,12.71,11.36,49.81,17.15,13.13,15.82,55.18,13.90,10.05,16.69,52.37,37.18,19.50,14.80,12.93,10.20,34.40,17.94,39.76,24.99,11.06,15.35,52.68,49.19,54.99,9.31,12.40,18.98,23.22,14.42,11.41,12.16,11.45,10.89,11.13,45.86,11.08,29.71,26.45,17.06,13.01,10.55,10.99,10.47,13.38,48.04,10.58,16.85,16.38,16.98,13.15,34.00,13.62,40.86,20.85,11.34,10.58,10.08,9.76,14.46,15.04,22.82,14.21,51.17,59.01,12.17,22.78,26.65,17.36,47.67,19.86,13.66,18.17,23.49,14.67,21.22,19.36,14.39,11.60,10.44,14.87,20.37,9.91,15.56,15.96,31.73,11.06,17.91,10.73,14.43,18.78,48.59
occiglot-7b-eu5,31.13,24.93,39.19,18.98,21.14,21.85,20.47,20.55,20.79,67.91,19.50,46.14,64.92,15.01,58.72,19.27,18.30,23.38,57.66,21.69,20.80,16.62,17.24,18.33,56.40,31.70,34.70,19.69,55.07,11.10,37.80,31.69,57.49,17.28,21.52,21.41,42.13,51.31,35.60,30.30,29.30,64.53,31.91,34.58,20.78,15.59,16.07,56.87,51.24,16.63,20.84,32.27,21.25,21.91,24.49,18.68,19.22,39.26,22.67,25.83,18.60,18.72,65.89,13.52,34.92,22.98,43.80,43.32,19.50,45.82,18.15,19.94,45.71,47.58,20.01,45.40,20.58,14.60,64.70,53.30,16.82,25.05,45.33,25.66,22.61,25.37,22.25,58.08,23.42,42.55,26.18,52.23,15.93,54.90,19.20,14.15,19.32,24.77,58.61,48.05,24.33,13.71,44.16,36.58,49.94,62.08,28.74,35.36,21.03,63.69,19.28,15.84,27.28,14.28,24.44,14.80,19.78,14.41,30.92,35.69,15.15,20.61,39.38,14.10,19.12,17.98,35.26,18.43,19.44,29.13,22.19,51.28,16.13,32.53,28.62,57.13,57.68,13.17,14.40,45.24,58.79,19.72,24.77,22.83,36.96,12.85,19.15,25.33,24.62,13.98,20.12,35.11,20.32,20.00,20.08,18.02,29.67,15.02,43.41,59.64,21.10,61.87,16.22,24.75,17.30,46.98,28.36,20.26,32.58,21.23,13.32,33.41,18.98,19.49,19.97,48.86,39.33,14.88,53.99,65.96,61.77,35.58,59.90,21.84,49.48,59.76,18.83,18.72,21.60,21.05,23.67,58.89,36.02,36.05,21.15,52.34,36.79,54.05,43.80,21.90,15.01,52.02,20.73,25.67
occiglot-7b-eu5-instruct,31.65,25.56,40.17,20.72,22.42,23.10,21.06,20.98,20.79,66.30,20.47,46.14,63.68,15.11,57.42,19.72,18.78,26.26,56.57,21.64,22.23,17.65,17.38,18.93,55.34,32.74,34.41,19.23,53.91,13.43,38.60,32.05,56.80,19.28,22.22,22.13,43.14,51.52,36.92,31.56,30.02,63.10,33.06,35.44,23.01,17.28,16.97,55.99,50.65,18.47,21.35,34.42,22.21,22.84,24.49,18.97,19.00,39.65,23.28,27.22,21.35,18.84,64.54,14.45,36.59,24.08,44.02,43.41,20.74,45.19,18.63,21.48,43.39,47.59,20.89,46.09,22.27,16.05,63.09,52.60,17.90,26.76,44.39,27.16,22.60,26.41,23.49,57.26,25.34,42.13,26.64,51.36,17.26,54.05,20.27,15.21,22.74,25.45,58.03,48.04,25.17,13.37,44.18,36.87,49.09,60.88,30.31,36.69,21.61,62.62,19.29,17.37,27.91,14.85,25.46,15.24,20.06,15.69,33.28,36.16,16.56,22.56,40.60,15.64,18.87,19.77,36.72,18.58,20.47,30.62,25.65,50.51,16.63,33.73,29.40,56.19,57.20,13.52,15.28,44.37,57.63,20.72,24.88,23.86,35.58,11.96,20.39,26.68,25.74,15.64,21.79,36.27,20.43,20.07,20.84,18.91,30.59,16.11,43.61,58.51,22.00,60.51,17.14,25.01,18.58,45.99,30.05,22.23,34.62,22.13,12.95,34.39,20.39,20.86,20.62,48.17,41.39,16.26,52.42,64.46,60.60,35.68,59.18,22.95,49.72,57.93,20.70,19.87,23.00,21.64,24.16,57.78,36.42,37.42,21.99,51.28,37.26,54.22,43.22,23.14,15.30,52.85,22.15,26.18
Meta-Llama-3-8B,43.72,49.62,54.98,43.56,24.87,46.50,22.72,24.32,21.01,69.51,19.72,60.59,64.95,45.03,62.28,27.16,20.00,32.66,61.36,26.25,26.90,27.61,18.23,47.73,59.65,51.14,51.27,19.26,56.81,13.66,56.69,37.18,64.96,44.92,23.10,28.97,59.32,57.47,49.88,50.78,46.37,67.71,48.90,49.02,39.53,50.81,52.44,58.82,56.39,61.36,25.83,43.95,33.97,26.18,29.64,57.57,20.03,66.39,49.10,37.57,27.33,45.56,65.57,17.78,57.06,52.89,51.14,60.30,20.39,56.27,40.51,22.02,54.78,53.91,19.03,51.47,24.37,29.21,67.62,64.51,44.68,50.21,61.64,52.29,51.20,31.88,48.00,61.71,41.16,58.92,52.60,54.44,38.28,60.47,19.18,16.69,27.16,54.23,64.47,62.32,29.13,13.16,57.68,53.11,58.41,63.68,44.09,53.99,24.03,70.62,18.91,48.69,67.32,23.30,53.24,17.65,20.38,47.33,58.07,60.40,16.88,32.80,58.08,50.51,27.05,32.78,55.42,18.12,27.98,45.74,46.85,58.20,17.76,49.17,51.16,57.44,63.93,12.86,18.65,58.97,61.44,22.56,36.41,48.97,56.54,21.08,19.08,54.66,27.25,51.79,30.15,57.34,20.52,19.59,26.08,19.62,52.82,47.30,51.56,63.21,26.86,72.39,33.23,51.20,34.54,58.04,44.26,47.42,62.43,42.47,19.57,52.07,20.46,31.95,20.01,52.84,57.16,37.96,57.74,66.65,64.88,49.95,64.16,23.98,55.68,59.34,47.19,37.55,31.20,38.90,47.74,62.88,53.27,56.68,27.40,57.39,55.38,63.73,56.59,22.71,17.67,63.12,23.27,56.56
Meta-Llama-3.1-8B,44.10,52.04,55.35,43.86,27.74,46.98,24.05,28.50,21.54,69.59,19.59,61.15,65.23,45.71,61.89,29.43,20.33,33.73,61.37,28.82,25.30,26.32,18.96,49.07,59.79,51.49,51.37,19.21,56.76,13.22,55.87,37.40,65.23,44.49,23.02,29.07,59.86,58.03,51.75,51.59,46.24,67.92,49.09,48.82,38.71,52.25,51.34,58.92,56.72,61.41,26.09,44.86,33.33,23.40,31.36,56.91,20.26,65.04,49.42,38.12,27.61,45.34,66.34,18.36,57.78,53.16,50.84,59.48,21.55,56.25,41.04,22.72,55.30,53.49,21.33,51.70,24.83,28.75,67.74,64.55,45.53,51.38,62.68,53.69,53.09,32.64,47.56,61.85,40.43,58.90,51.97,54.69,39.83,60.57,19.48,18.01,29.86,54.66,64.54,62.61,30.56,12.51,57.61,53.34,59.06,63.53,43.81,53.51,24.30,71.03,19.39,49.99,67.42,24.48,53.04,18.85,20.24,47.48,58.79,60.98,16.17,32.82,58.62,50.51,26.42,34.37,56.53,18.09,27.25,45.61,47.23,58.65,20.03,49.56,51.91,57.31,63.93,12.09,16.66,59.28,61.59,24.77,37.43,50.10,56.67,21.71,18.91,55.02,28.66,53.46,30.34,56.85,20.34,20.10,26.86,19.43,53.72,48.01,51.63,63.57,29.12,72.48,34.60,53.21,34.74,57.76,44.00,48.62,62.54,41.92,20.31,52.47,20.81,31.41,20.83,53.28,57.12,38.72,59.17,66.93,64.69,50.71,64.48,24.87,56.41,59.47,46.06,38.72,31.12,41.00,49.10,62.67,53.43,56.79,28.13,57.17,55.68,63.74,56.39,22.82,17.35,63.18,24.95,54.38
gemma-2-9b,38.87,57.38,0.57,50.96,0.45,47.96,26.10,38.01,22.10,70.68,0.55,64.11,66.99,49.79,0.52,41.80,21.66,0.40,63.54,45.55,28.71,26.49,23.38,51.92,61.79,55.12,54.39,0.68,57.49,14.18,0.56,41.79,66.95,49.71,24.57,40.54,0.55,60.23,58.38,56.28,0.56,70.16,0.52,0.56,42.77,59.68,58.49,60.45,61.01,69.37,39.30,51.09,40.35,26.08,32.67,60.57,21.24,72.19,52.68,43.11,29.74,0.54,67.74,24.23,61.00,60.60,53.63,0.52,21.37,61.53,44.38,23.80,61.05,56.25,22.15,54.19,29.86,0.42,69.12,66.26,0.70,55.90,67.18,57.60,58.32,0.64,0.57,0.66,48.48,60.57,0.63,56.17,37.49,63.25,19.58,0.51,41.80,56.48,66.43,66.98,38.55,14.36,61.52,0.56,63.11,65.92,49.40,56.45,26.69,73.06,20.11,54.33,69.40,0.42,0.57,21.51,0.58,46.82,62.54,63.06,18.01,44.36,0.55,57.43,32.63,34.02,61.26,19.08,34.64,0.66,0.52,61.94,23.20,0.60,55.31,58.72,66.50,15.31,20.90,62.71,65.02,27.02,40.63,54.46,60.98,35.67,19.22,61.02,0.56,59.71,49.18,59.79,21.58,22.01,31.60,22.07,58.03,54.74,55.28,0.53,41.53,0.57,46.18,58.35,0.64,60.17,51.38,52.38,65.93,46.01,19.84,55.32,21.54,41.70,21.27,55.81,0.55,44.20,64.00,0.55,67.01,0.47,66.28,0.60,60.00,60.34,47.12,42.05,47.30,40.25,51.21,0.55,57.69,63.37,34.08,59.79,0.45,66.78,58.99,25.75,0.54,65.18,33.67,63.72
gemma-7b,43.68,50.43,55.56,44.57,24.59,35.54,23.41,29.12,21.53,69.06,20.22,58.86,65.16,43.26,62.10,31.99,20.24,29.66,61.53,33.93,24.94,19.97,20.35,43.99,59.85,51.25,49.53,20.43,56.16,14.04,56.06,36.29,65.35,43.22,23.95,32.15,59.82,57.53,52.28,50.09,46.57,67.14,47.94,48.96,36.99,55.50,53.97,58.84,58.10,62.70,31.84,46.15,31.85,23.83,29.93,56.84,20.81,67.02,49.63,37.01,26.48,46.08,65.55,19.76,58.01,54.59,50.66,60.28,22.19,57.88,35.55,23.03,53.93,53.60,21.22,51.51,25.41,30.55,67.00,63.59,38.30,50.11,59.86,53.46,53.10,32.67,45.89,61.91,41.41,57.25,52.65,54.51,31.04,61.29,19.65,17.34,32.36,45.45,63.89,64.09,28.21,13.97,58.38,53.35,59.11,63.70,44.25,54.35,22.14,68.43,19.52,51.34,61.59,16.69,52.37,20.19,20.23,26.44,59.02,59.12,16.72,35.70,59.10,53.34,25.79,29.21,58.39,18.63,27.39,45.02,46.96,57.27,19.36,49.44,51.91,56.25,63.85,14.69,18.04,59.65,61.97,24.60,31.91,49.94,58.75,20.67,19.42,55.47,28.71,55.93,39.00,57.48,20.76,21.47,26.17,20.34,52.45,49.82,52.09,63.45,34.61,72.73,31.79,52.69,36.19,57.38,44.99,43.63,63.50,40.82,13.14,49.83,21.09,31.84,21.14,52.99,57.23,35.47,59.89,66.87,65.13,50.50,64.56,26.71,56.44,58.82,39.51,33.83,37.11,31.40,46.11,63.24,55.27,56.61,26.34,57.65,56.34,63.91,56.84,24.17,16.98,62.77,27.28,60.37
Qwen2-7B,37.61,44.65,53.33,19.00,20.88,29.41,19.37,21.49,19.55,68.88,19.15,47.33,65.01,21.69,60.87,20.04,18.12,27.33,59.43,21.68,20.00,15.87,15.46,25.39,58.38,39.56,38.87,18.85,56.70,11.76,55.24,32.25,62.13,38.23,20.51,22.30,59.52,51.90,36.40,42.08,42.64,67.13,46.02,45.96,32.61,47.51,37.41,59.16,50.94,27.47,21.78,30.16,19.85,19.21,22.78,36.47,19.74,46.48,40.77,29.80,26.06,37.70,65.89,13.47,55.63,41.20,51.04,59.79,18.80,51.91,30.67,20.25,46.76,55.91,17.94,53.97,19.77,17.55,66.09,58.43,20.18,38.55,49.49,49.32,44.12,28.41,29.42,58.75,28.80,54.78,46.83,54.60,30.37,59.47,17.87,15.28,22.63,35.43,61.38,59.62,25.18,11.83,55.86,51.45,49.46,63.17,38.44,53.79,19.88,63.86,18.72,36.66,48.60,11.43,50.66,18.99,18.03,40.54,55.27,44.28,14.43,23.00,57.39,42.96,18.52,26.28,52.30,14.86,19.25,32.50,40.32,49.41,16.70,42.24,32.60,57.20,63.67,13.19,15.66,50.77,57.71,19.67,29.06,40.95,51.65,13.03,18.97,47.88,26.76,45.98,22.40,54.63,18.23,19.03,19.08,15.63,41.08,35.02,52.63,61.80,22.29,70.46,28.96,42.33,24.78,58.16,33.53,24.34,60.98,27.43,10.46,39.21,18.93,20.12,21.63,55.60,56.42,26.50,52.58,65.26,63.59,49.21,62.94,20.70,49.53,58.97,35.40,17.27,24.35,24.00,32.95,61.67,50.18,43.27,20.18,54.44,47.72,62.00,52.46,20.24,15.12,61.17,21.21,38.84
