Model,Avg,eng_Latn-bjn_Arab,eng_Latn-hat_Latn,eng_Latn-sna_Latn,eng_Latn-npi_Deva,eng_Latn-ckb_Arab,eng_Latn-quy_Latn,eng_Latn-bug_Latn,eng_Latn-fra_Latn,eng_Latn-nso_Latn,eng_Latn-hau_Latn,eng_Latn-bod_Tibt,eng_Latn-zho_Hans,eng_Latn-guj_Gujr,eng_Latn-pan_Guru,eng_Latn-tel_Telu,eng_Latn-gle_Latn,eng_Latn-prs_Arab,eng_Latn-kab_Latn,eng_Latn-kac_Latn,eng_Latn-kan_Knda,eng_Latn-ben_Beng,eng_Latn-jav_Latn,eng_Latn-kam_Latn,eng_Latn-gaz_Latn,eng_Latn-mal_Mlym,eng_Latn-szl_Latn,eng_Latn-nob_Latn,eng_Latn-arb_Latn,eng_Latn-tam_Taml,eng_Latn-shn_Mymr,eng_Latn-vie_Latn,eng_Latn-wol_Latn,eng_Latn-lmo_Latn,eng_Latn-lug_Latn,eng_Latn-por_Latn,eng_Latn-tgl_Latn,eng_Latn-ajp_Arab,eng_Latn-kat_Geor,eng_Latn-tha_Thai,eng_Latn-khm_Khmr,eng_Latn-luo_Latn,eng_Latn-zho_Hant,eng_Latn-twi_Latn,eng_Latn-bho_Deva,eng_Latn-hye_Armn,eng_Latn-fur_Latn,eng_Latn-cym_Latn,eng_Latn-fao_Latn,eng_Latn-est_Latn,eng_Latn-afr_Latn,eng_Latn-cat_Latn,eng_Latn-ssw_Latn,eng_Latn-ltg_Latn,eng_Latn-sag_Latn,eng_Latn-vec_Latn,eng_Latn-kin_Latn,eng_Latn-als_Latn,eng_Latn-bel_Cyrl,eng_Latn-swe_Latn,eng_Latn-umb_Latn,eng_Latn-kmb_Latn,eng_Latn-dzo_Tibt,eng_Latn-pag_Latn,eng_Latn-fin_Latn,eng_Latn-bak_Cyrl,eng_Latn-nya_Latn,eng_Latn-knc_Arab,eng_Latn-mni_Beng,eng_Latn-ban_Latn,eng_Latn-mag_Deva,eng_Latn-cjk_Latn,eng_Latn-tpi_Latn,eng_Latn-epo_Latn,eng_Latn-tat_Cyrl,eng_Latn-som_Latn,eng_Latn-xho_Latn,eng_Latn-kas_Deva,eng_Latn-nld_Latn,eng_Latn-crh_Latn,eng_Latn-azb_Arab,eng_Latn-kbp_Latn,eng_Latn-deu_Latn,eng_Latn-sin_Sinh,eng_Latn-mri_Latn,eng_Latn-hun_Latn,eng_Latn-war_Latn,eng_Latn-kaz_Cyrl,eng_Latn-ita_Latn,eng_Latn-run_Latn,eng_Latn-srp_Cyrl,eng_Latn-acq_Arab,eng_Latn-kor_Hang,eng_Latn-awa_Deva,eng_Latn-srd_Latn,eng_Latn-gla_Latn,eng_Latn-kea_Latn,eng_Latn-kas_Arab,eng_Latn-mar_Deva,eng_Latn-hne_Deva,eng_Latn-aeb_Arab,eng_Latn-ltz_Latn,eng_Latn-ace_Arab,eng_Latn-tum_Latn,eng_Latn-lvs_Latn,eng_Latn-ron_Latn,eng_Latn-san_Deva,eng_Latn-fij_Latn,eng_Latn-lus_Latn,eng_Latn-arz_Arab,eng_Latn-mos_Latn,eng_Latn-glg_Latn,eng_Latn-pbt_Arab,eng_Latn-swh_Latn,eng_Latn-aka_Latn,eng_Latn-heb_Hebr,eng_Latn-ceb_Latn,eng_Latn-ind_Latn,eng_Latn-bos_Latn,eng_Latn-fon_Latn,eng_Latn-dyu_Latn,eng_Latn-ast_Latn,eng_Latn-ary_Arab,eng_Latn-smo_Latn,eng_Latn-slv_Latn,eng_Latn-rus_Cyrl,eng_Latn-dik_Latn,eng_Latn-zul_Latn,eng_Latn-mlt_Latn,eng_Latn-lao_Laoo,eng_Latn-snd_Arab,eng_Latn-lit_Latn,eng_Latn-sat_Olck,eng_Latn-mkd_Cyrl,eng_Latn-pap_Latn,eng_Latn-ces_Latn,eng_Latn-tso_Latn,eng_Latn-grn_Latn,eng_Latn-jpn_Jpan,eng_Latn-uzn_Latn,eng_Latn-azj_Latn,eng_Latn-bjn_Latn,eng_Latn-pes_Arab,eng_Latn-kik_Latn,eng_Latn-kir_Cyrl,eng_Latn-ewe_Latn,eng_Latn-kon_Latn,eng_Latn-ibo_Latn,eng_Latn-tzm_Tfng,eng_Latn-khk_Cyrl,eng_Latn-yue_Hant,eng_Latn-tsn_Latn,eng_Latn-lin_Latn,eng_Latn-mai_Deva,eng_Latn-slk_Latn,eng_Latn-tuk_Latn,eng_Latn-kmr_Latn,eng_Latn-tur_Latn,eng_Latn-bam_Latn,eng_Latn-dan_Latn,eng_Latn-nus_Latn,eng_Latn-asm_Beng,eng_Latn-ilo_Latn,eng_Latn-taq_Tfng,eng_Latn-ayr_Latn,eng_Latn-taq_Latn,eng_Latn-pol_Latn,eng_Latn-ukr_Cyrl,eng_Latn-zsm_Latn,eng_Latn-acm_Arab,eng_Latn-uig_Arab,eng_Latn-hin_Deva,eng_Latn-fuv_Latn,eng_Latn-plt_Latn,eng_Latn-knc_Latn,eng_Latn-bul_Cyrl,eng_Latn-bem_Latn,eng_Latn-yor_Latn,eng_Latn-isl_Latn,eng_Latn-oci_Latn,eng_Latn-ory_Orya,eng_Latn-eus_Latn,eng_Latn-apc_Arab,eng_Latn-mya_Mymr,eng_Latn-urd_Arab,eng_Latn-lij_Latn,eng_Latn-hrv_Latn,eng_Latn-lim_Latn,eng_Latn-amh_Ethi,eng_Latn-min_Latn,eng_Latn-ars_Arab,eng_Latn-sot_Latn,eng_Latn-nno_Latn,eng_Latn-ydd_Hebr,eng_Latn-sun_Latn,eng_Latn-arb_Arab,eng_Latn-lua_Latn,eng_Latn-tgk_Cyrl,eng_Latn-min_Arab,eng_Latn-scn_Latn,eng_Latn-tir_Ethi,eng_Latn-ell_Grek,eng_Latn-ace_Latn,eng_Latn-spa_Latn
bloom-7b1,2.81,0.03,0.27,0.14,4.17,0.02,0.04,0.09,40.22,0.17,0.06,0.09,22.65,1.29,2.21,1.17,0.17,0.13,0.05,0.14,1.05,8.97,0.57,0.08,0.02,1.06,0.81,3.68,0.10,2.16,0.35,30.31,0.17,0.70,0.10,40.40,0.63,11.90,0.01,0.11,0.10,0.14,18.36,0.09,0.96,0.08,0.76,0.16,0.66,0.49,1.56,34.11,0.06,0.20,0.06,1.06,0.10,0.36,0.22,3.77,0.04,0.08,0.07,0.45,0.60,0.03,0.20,0.15,0.03,0.27,1.32,0.06,0.47,1.83,0.06,0.10,0.08,0.05,3.67,0.12,0.01,0.04,8.06,0.15,0.10,0.40,0.41,0.05,10.18,0.10,0.95,13.01,0.09,1.39,1.10,0.21,0.97,0.03,1.56,1.00,7.37,0.64,0.12,0.11,0.34,1.55,0.04,0.10,0.22,9.59,0.04,14.91,0.01,2.36,0.11,0.09,0.63,31.47,1.94,0.01,0.04,12.15,2.36,0.14,0.84,2.91,0.05,0.04,0.22,0.11,0.01,0.42,0.89,0.87,0.87,1.97,0.11,0.10,0.60,0.08,0.06,0.72,0.10,0.07,0.04,0.03,0.09,0.14,0.37,0.08,20.26,0.15,0.13,0.69,1.42,0.09,0.09,0.33,0.04,4.06,0.13,0.74,0.30,0.53,0.05,0.05,1.57,0.75,21.64,12.26,0.02,11.69,0.07,0.25,0.08,1.32,0.11,0.19,0.47,5.47,0.85,8.03,10.14,0.07,4.88,0.81,1.72,1.13,0.01,0.81,18.40,0.16,2.87,0.12,0.68,20.36,0.08,0.04,0.06,0.82,0.01,0.58,0.15,26.13
bloomz-7b1,7.44,0.04,0.21,1.32,56.57,0.03,0.07,0.12,62.00,3.10,0.07,0.02,63.75,57.44,58.40,52.82,0.13,0.14,0.03,0.15,48.18,63.65,0.64,0.20,0.04,44.78,0.33,1.38,0.15,58.21,0.20,59.59,2.21,0.49,0.89,62.68,0.25,11.25,0.04,0.29,0.17,0.15,61.67,1.88,1.53,0.03,0.34,0.30,0.37,0.21,0.29,57.97,0.17,0.12,0.10,0.66,2.23,0.17,0.06,1.45,0.11,0.13,0.05,0.35,0.18,0.02,1.42,0.15,0.05,0.38,3.80,0.09,0.56,0.44,0.02,0.08,1.63,0.14,1.43,0.11,0.01,0.12,6.92,0.17,0.13,0.22,0.41,0.04,10.81,1.79,0.22,14.88,0.19,4.11,0.25,0.17,0.34,0.24,50.20,2.25,6.74,0.29,0.11,1.15,0.11,1.12,0.18,0.17,0.21,11.32,0.07,17.21,0.04,30.38,1.96,0.09,0.18,65.14,0.27,0.24,0.11,14.66,2.02,0.20,0.19,1.06,0.10,1.40,0.16,0.16,0.02,0.19,1.02,0.15,0.32,0.52,1.29,0.13,1.81,0.09,0.08,0.59,0.13,0.74,0.03,0.11,0.18,2.90,0.58,0.02,28.88,2.76,4.74,1.28,0.35,0.07,0.13,0.31,0.71,1.83,0.17,23.41,0.27,1.20,0.09,0.07,0.80,0.15,23.01,12.21,0.03,57.57,0.07,0.22,0.08,0.52,0.20,1.95,0.29,8.06,38.01,45.22,8.99,0.10,43.38,0.38,0.33,0.19,0.06,0.67,20.27,4.50,0.87,0.07,0.55,19.19,0.14,0.02,0.08,0.23,0.02,0.26,0.20,41.87
mGPT,2.59,0.06,0.15,0.17,0.05,0.01,0.36,0.11,25.04,0.42,0.18,0.00,7.92,0.00,0.00,0.15,0.33,5.84,0.03,0.59,0.00,0.14,1.18,0.20,0.11,0.07,1.97,8.00,0.14,0.08,0.01,18.36,0.12,0.75,0.10,23.28,0.96,3.51,4.39,4.17,0.01,0.17,6.50,0.25,0.15,0.00,0.75,0.31,0.22,0.17,13.54,2.10,0.13,0.75,0.14,3.08,0.13,0.19,3.32,22.49,0.16,0.12,0.00,0.69,6.81,0.20,0.36,0.43,0.02,1.01,0.32,0.16,1.16,0.14,0.75,0.27,0.14,0.05,17.04,0.56,0.12,0.10,17.02,0.01,0.12,9.62,0.56,0.32,16.79,0.09,0.27,4.05,2.16,0.26,0.91,0.24,0.49,0.09,0.10,0.20,2.60,1.05,0.24,0.18,5.22,18.90,0.02,0.35,0.72,2.78,0.13,7.44,0.05,3.80,0.13,3.54,0.27,16.11,0.47,0.03,0.08,5.54,1.77,0.15,0.28,16.46,0.36,0.12,0.22,0.00,0.03,6.20,0.01,1.21,0.41,0.66,0.20,0.27,3.60,3.30,1.62,2.12,5.93,0.32,0.89,0.07,0.19,0.09,0.01,0.25,8.23,0.21,0.25,0.15,0.42,0.10,0.20,7.17,0.10,20.03,0.32,0.02,0.32,0.01,0.20,0.25,13.07,10.12,14.93,3.33,0.01,0.66,0.16,0.13,0.27,15.64,0.23,0.14,0.10,1.34,0.01,5.76,3.27,0.06,3.69,1.25,0.30,3.42,0.01,2.08,3.96,0.57,4.67,0.09,0.69,4.49,0.23,1.50,0.13,1.41,0.00,9.39,0.40,17.26
mGPT-13B,3.88,0.06,0.11,0.12,0.24,0.05,0.28,0.12,31.61,0.21,0.11,0.00,12.81,0.00,0.00,2.00,0.14,6.30,0.03,0.19,0.00,2.39,0.57,0.13,0.06,0.94,1.00,15.04,0.15,1.32,0.01,23.84,0.14,0.63,0.11,31.66,3.55,5.05,7.61,10.31,0.00,0.22,8.82,0.14,0.57,0.02,0.46,0.13,0.37,0.83,23.07,11.38,0.12,0.41,0.12,1.90,0.20,0.56,10.69,28.47,0.12,0.14,0.00,0.59,10.92,3.08,0.21,0.64,0.02,0.69,1.18,0.08,0.37,1.15,5.28,0.16,0.09,0.14,21.12,0.84,0.04,0.07,24.28,0.01,0.11,13.36,0.41,3.80,22.36,0.17,1.32,7.09,3.38,1.16,0.40,0.13,0.32,0.07,1.73,0.75,4.45,0.47,0.15,0.22,11.96,25.47,0.10,0.08,0.31,4.49,0.09,8.58,0.03,6.68,0.12,6.53,0.47,23.95,3.88,0.03,0.10,6.17,2.44,0.11,2.13,19.89,0.13,0.10,0.25,0.00,0.03,11.33,0.00,2.10,0.41,4.97,0.12,0.09,5.56,5.83,4.34,1.43,8.06,0.10,4.33,0.06,0.21,0.09,0.04,1.13,8.75,0.11,0.28,0.63,3.78,0.14,0.13,8.86,0.07,25.01,0.18,0.17,0.15,0.04,0.10,0.09,14.85,16.18,19.54,6.63,0.01,5.46,0.11,0.16,0.13,21.62,0.18,0.11,0.22,3.30,0.00,8.25,4.64,0.96,5.73,0.71,3.86,1.95,0.00,0.76,8.89,0.24,10.07,0.12,0.63,8.93,0.17,4.40,0.08,0.81,0.00,13.64,0.15,21.19
yayi-7b-llama2,4.41,0.10,0.67,0.20,0.41,0.07,0.17,0.17,39.92,0.16,0.19,0.01,15.15,0.58,0.48,0.82,0.77,1.16,0.04,0.14,0.83,0.51,0.91,0.12,0.09,0.33,2.05,26.84,0.22,0.35,0.25,23.16,0.16,1.81,0.11,39.75,5.16,1.53,1.34,0.86,0.15,0.12,9.52,0.13,0.87,0.54,2.76,1.20,2.54,1.56,19.36,33.46,0.19,0.49,0.11,2.15,0.15,1.04,1.08,34.50,0.09,0.11,0.02,0.73,15.67,0.10,0.18,0.44,0.13,0.62,0.98,0.09,0.85,4.95,0.12,0.26,0.30,0.22,25.15,0.30,0.08,0.04,30.89,0.21,0.62,13.15,0.75,0.11,26.19,0.12,21.39,1.90,6.56,1.17,1.96,0.86,2.31,0.09,0.55,0.66,1.30,2.61,0.11,0.15,0.80,29.25,0.19,0.40,0.29,1.44,0.04,14.01,0.07,0.47,0.11,1.23,1.53,27.92,20.19,0.05,0.09,10.02,0.71,0.27,16.11,26.08,0.07,0.27,1.95,0.23,0.08,1.45,0.37,9.31,2.23,23.70,0.14,0.11,11.25,0.21,0.27,1.03,1.52,0.09,0.13,0.04,0.19,0.14,0.20,0.07,8.58,0.14,0.17,0.50,9.77,0.09,0.15,1.69,0.08,32.67,0.06,0.12,0.51,0.23,0.10,0.07,20.55,24.15,17.71,1.49,0.05,2.90,0.09,0.32,0.15,25.07,0.21,0.10,1.40,8.68,0.28,0.56,1.63,0.03,0.44,1.75,18.58,6.43,0.09,1.15,2.41,0.18,16.49,0.47,1.28,2.67,0.10,0.10,0.14,2.18,0.03,3.85,0.30,25.96
yayi-7b,4.37,0.02,0.16,0.59,16.05,0.01,0.06,0.09,57.36,1.12,0.06,0.02,45.30,31.80,23.40,29.98,0.08,0.21,0.02,0.10,20.19,38.66,1.18,0.11,0.02,14.62,0.38,1.24,0.07,22.34,0.33,40.56,0.67,0.86,0.26,54.85,0.20,6.39,0.02,0.13,0.06,0.07,42.59,0.63,2.96,0.01,0.64,0.13,0.27,0.11,0.35,35.95,0.09,0.05,0.05,1.15,0.84,0.10,0.09,1.92,0.06,0.08,0.03,0.18,0.11,0.02,0.51,0.09,0.03,0.79,3.03,0.06,0.27,0.41,0.02,0.06,0.64,0.13,1.76,0.12,0.01,0.08,6.40,0.11,0.09,0.16,0.22,0.04,8.34,0.73,0.39,11.38,0.13,3.52,0.54,0.09,0.54,0.18,23.91,2.96,5.91,0.31,0.07,0.31,0.06,1.01,0.13,0.10,0.11,5.47,0.04,10.04,0.02,15.89,0.32,0.04,0.16,33.17,0.41,0.10,0.06,6.66,2.59,0.11,0.25,1.71,0.05,0.48,0.10,0.33,0.04,0.13,0.66,0.33,0.56,0.53,0.44,0.08,1.32,0.04,0.08,1.68,0.15,0.26,0.03,0.06,0.11,1.23,0.30,0.03,21.04,0.79,1.19,1.88,0.36,0.06,0.09,0.38,0.20,1.36,0.09,9.54,0.15,0.58,0.06,0.05,0.64,0.28,12.66,9.91,0.01,26.05,0.05,0.10,0.07,0.43,0.10,0.84,0.15,5.67,7.53,23.22,7.67,0.09,17.56,0.71,0.45,0.30,0.01,1.34,16.79,1.32,1.14,0.04,1.20,18.87,0.09,0.03,0.04,0.73,0.01,0.21,0.19,32.73
occiglot-7b-eu5,4.32,0.12,3.10,0.20,0.52,0.06,0.64,0.48,48.39,0.24,0.28,0.01,16.58,0.24,0.32,0.17,0.81,1.58,0.11,0.25,0.16,0.95,3.03,0.22,0.12,0.25,2.90,18.48,0.43,0.13,0.15,9.65,0.27,6.17,0.19,40.39,6.32,3.13,0.91,1.56,0.03,0.33,9.69,0.43,0.59,0.71,7.20,0.86,3.04,2.72,16.94,35.26,0.30,0.90,0.17,9.94,0.29,2.10,0.64,28.88,0.16,0.16,0.02,2.38,4.21,0.08,0.29,0.36,0.28,1.88,0.84,0.11,1.76,7.38,0.14,0.28,0.42,0.23,22.47,0.68,0.18,0.19,39.34,0.10,0.60,9.83,2.28,0.14,33.10,0.21,8.59,3.41,3.87,0.87,5.51,0.62,2.97,0.11,0.56,0.46,2.56,4.88,0.14,0.28,1.87,22.46,0.16,0.28,0.74,2.66,0.13,23.75,0.06,0.31,0.34,1.82,2.39,19.69,16.09,0.07,0.15,16.42,1.96,0.34,11.85,18.90,0.29,0.38,4.14,0.07,0.08,2.45,0.44,5.62,3.09,16.44,0.20,0.67,5.65,0.35,0.51,3.78,1.69,0.31,0.14,0.15,0.21,0.15,0.17,0.22,9.59,0.20,0.23,0.52,8.40,0.11,0.25,4.49,0.17,26.26,0.18,0.20,0.80,0.09,0.45,0.15,16.05,10.50,13.98,3.12,0.07,1.50,0.26,0.55,0.24,17.66,0.27,0.21,2.51,12.36,0.06,1.64,2.81,0.04,0.47,5.54,12.54,6.23,0.02,4.68,4.10,0.26,10.54,0.51,2.97,3.99,0.18,0.12,0.12,6.72,0.01,6.36,0.95,30.28
occiglot-7b-eu5-instruct,3.99,0.14,3.00,0.16,0.55,0.07,0.46,0.32,44.31,0.22,0.22,0.01,15.24,0.44,0.44,0.23,0.78,1.98,0.09,0.20,0.16,1.15,1.51,0.19,0.13,0.36,2.86,14.84,0.36,0.18,0.16,9.57,0.23,4.74,0.22,35.52,6.10,3.72,0.95,1.90,0.02,0.23,8.59,0.31,0.64,0.19,6.62,0.69,2.36,2.84,11.92,30.89,0.24,0.95,0.16,8.73,0.30,1.81,0.71,25.65,0.10,0.14,0.02,1.47,3.88,0.09,0.25,0.36,0.33,1.07,1.10,0.10,1.28,7.74,0.13,0.28,0.33,0.27,20.26,1.10,0.23,0.14,36.09,0.12,0.46,10.32,2.04,0.12,30.51,0.21,7.81,3.50,4.49,1.13,5.25,0.36,2.52,0.11,0.61,0.58,3.61,5.14,0.14,0.23,2.38,22.48,0.26,0.33,0.61,3.58,0.10,20.04,0.09,0.35,0.25,2.29,2.14,16.78,15.15,0.06,0.17,14.17,2.31,0.27,10.87,18.37,0.19,0.33,4.63,0.11,0.05,2.30,0.40,5.60,2.18,17.32,0.15,0.39,6.62,0.46,0.64,2.56,1.85,0.23,0.14,0.15,0.21,0.15,0.08,0.22,9.46,0.19,0.23,0.66,8.64,0.17,0.26,4.94,0.14,23.68,0.18,0.33,0.54,0.05,0.36,0.09,14.87,9.95,12.07,3.59,0.10,1.99,0.20,0.33,0.18,15.72,0.24,0.15,2.24,11.24,0.15,1.80,3.44,0.05,0.54,5.20,12.87,5.06,0.05,3.11,3.89,0.23,10.15,0.54,1.81,4.32,0.19,0.17,0.15,5.38,0.02,6.77,0.65,27.42
Meta-Llama-3-8B,9.93,0.14,3.69,0.30,5.01,1.48,0.18,0.27,46.70,0.26,2.25,0.20,28.91,9.73,11.33,13.62,6.19,19.52,0.13,0.21,11.38,16.90,5.87,0.16,0.14,10.54,7.18,30.23,0.57,9.91,0.73,35.90,0.24,4.67,0.20,46.67,21.26,14.82,15.94,25.68,2.24,0.17,23.34,0.64,5.08,20.97,11.27,18.58,6.15,14.64,38.43,37.78,0.26,0.92,0.11,10.52,0.33,21.01,14.01,41.78,0.08,0.14,0.24,1.77,19.57,3.39,0.36,0.20,0.32,1.24,7.90,0.08,1.94,30.74,4.23,0.56,0.38,0.61,29.15,0.76,0.26,0.30,36.04,5.83,1.79,24.22,4.86,4.90,31.06,0.29,23.13,14.18,12.70,8.41,9.49,3.24,3.27,0.26,4.38,6.95,10.02,13.42,0.13,0.17,14.25,37.07,0.75,0.65,0.96,12.19,0.09,31.62,0.62,8.77,0.41,26.35,5.04,38.31,26.30,0.08,0.07,25.55,4.95,0.65,19.09,32.80,0.32,0.28,12.85,0.70,1.28,13.83,0.64,25.00,8.67,29.97,0.19,0.29,19.86,6.05,5.74,3.68,20.51,0.25,3.01,0.20,0.20,0.83,0.30,1.13,25.81,0.26,0.29,5.59,22.18,0.42,0.85,24.76,0.15,37.91,0.15,7.00,1.96,0.16,0.14,0.12,24.83,28.70,33.66,13.66,1.30,23.40,0.17,0.98,0.20,31.39,0.21,0.57,9.56,26.24,7.63,7.35,10.67,3.78,7.81,6.34,23.67,12.62,0.52,6.29,23.00,0.27,28.25,16.99,4.28,24.80,0.12,1.89,0.16,8.77,0.22,25.64,0.64,29.19
Meta-Llama-3.1-8B,10.11,0.16,4.95,0.33,7.59,2.11,0.21,0.33,46.56,0.44,2.40,0.26,29.12,9.53,11.86,10.59,7.01,20.19,0.22,0.29,12.17,16.43,6.43,0.16,0.18,13.01,7.27,30.28,0.50,11.43,0.92,35.57,0.23,4.64,0.26,47.42,23.97,13.17,15.59,27.30,2.49,0.16,23.38,0.88,5.63,21.20,11.95,17.12,7.19,16.98,38.44,38.66,0.29,1.05,0.13,10.58,0.43,19.18,16.62,41.68,0.08,0.13,0.34,1.43,20.55,5.83,0.37,0.25,0.32,1.34,9.25,0.07,2.12,33.67,5.55,0.64,0.42,0.61,29.37,1.19,0.32,0.47,34.67,5.20,1.94,24.02,5.33,5.75,30.33,0.31,26.44,16.87,15.17,9.35,6.67,3.35,3.22,0.42,6.85,9.24,9.85,10.34,0.16,0.21,15.20,37.37,1.06,0.67,1.18,9.98,0.10,31.83,0.78,6.08,0.44,26.91,4.68,35.55,27.48,0.09,0.09,26.93,4.34,0.67,19.20,32.37,0.37,0.40,11.37,0.80,2.02,13.82,2.18,27.30,11.35,29.23,0.25,0.38,20.21,7.11,8.07,3.25,24.79,0.32,3.13,0.19,0.17,0.93,0.48,1.65,26.52,0.40,0.26,5.26,20.44,0.50,1.05,18.42,0.16,38.42,0.18,6.34,2.14,0.29,0.15,0.11,24.75,28.05,31.68,14.74,1.69,21.87,0.19,1.15,0.21,29.95,0.23,0.71,11.56,21.28,8.26,9.47,12.30,4.22,11.75,7.57,25.21,11.61,0.76,5.91,22.51,0.45,28.39,17.55,4.64,17.94,0.13,2.18,0.14,7.81,0.25,25.97,0.73,29.21
gemma-2-9b,12.09,0.08,8.28,0.93,13.55,0.88,0.17,0.20,51.93,0.60,6.29,0.16,33.28,16.75,17.94,13.81,6.45,25.25,0.15,0.16,14.55,17.52,11.93,0.19,0.10,15.95,6.43,34.45,0.30,12.47,0.41,39.48,0.09,6.20,0.36,50.80,31.25,19.33,13.45,34.08,4.60,0.27,26.50,0.50,7.34,20.78,7.31,20.97,5.94,23.47,41.43,42.79,0.48,1.44,0.12,14.23,0.61,23.69,19.24,44.43,0.07,0.13,0.14,2.18,25.20,3.33,0.71,0.29,0.23,1.78,11.64,0.07,4.38,34.26,3.23,1.69,1.48,0.40,31.51,1.86,0.23,0.22,42.31,3.88,1.95,27.29,10.96,9.12,33.87,0.39,30.58,23.90,15.70,10.88,6.31,1.81,4.63,0.16,9.84,8.51,13.89,14.06,0.16,0.21,23.87,40.73,1.01,0.39,2.25,15.54,0.07,34.93,0.39,26.61,0.53,27.32,13.53,45.98,30.29,0.06,0.08,26.85,5.30,1.16,27.98,35.57,0.16,1.57,22.31,3.42,0.91,24.22,3.19,28.89,12.31,33.21,0.35,0.29,25.50,9.96,10.06,4.13,29.88,0.22,3.08,0.16,0.28,1.16,0.22,1.76,30.44,0.73,0.63,5.92,30.34,0.59,0.45,31.23,0.12,44.24,0.11,5.11,2.52,0.10,0.11,0.08,28.44,32.70,39.76,23.99,0.29,31.76,0.10,2.40,0.11,41.30,0.39,0.49,13.43,20.67,1.23,10.71,17.74,2.82,13.44,6.06,27.45,9.58,1.05,4.59,31.31,1.02,32.36,13.53,6.68,28.11,0.16,1.13,0.08,8.85,0.16,29.39,0.44,32.07
gemma-7b,9.05,0.07,1.81,0.64,6.05,0.69,0.24,0.23,47.44,0.46,1.68,0.03,22.61,7.05,8.56,7.96,2.74,17.10,0.19,0.26,7.11,12.64,2.45,0.21,0.10,7.78,3.67,29.35,0.37,8.72,0.40,35.23,0.39,5.15,0.42,47.48,23.13,15.46,9.07,29.43,2.13,0.21,22.52,0.60,4.80,9.51,6.84,6.81,4.13,16.72,37.40,37.64,0.72,0.89,0.14,9.15,0.51,14.79,14.76,32.35,0.10,0.18,0.03,2.05,21.17,1.58,0.35,0.36,0.33,1.18,9.88,0.10,2.06,25.75,1.47,0.52,0.88,0.34,28.01,0.86,0.28,0.39,36.55,1.99,0.89,19.82,6.46,3.22,30.12,0.33,26.98,20.85,10.44,7.49,5.80,1.26,3.60,0.17,5.06,5.62,11.12,6.47,0.15,0.24,16.84,36.12,0.60,0.36,0.88,13.91,0.07,30.92,0.20,20.90,0.49,23.32,5.17,30.06,25.00,0.07,0.10,26.71,4.29,0.64,20.96,29.84,0.27,0.99,8.01,0.60,0.30,17.59,2.04,20.55,5.69,28.58,0.31,0.50,12.20,3.04,5.64,3.68,19.43,0.27,1.23,0.22,0.24,0.93,0.07,0.75,24.92,0.42,0.33,4.92,26.23,0.40,0.37,15.55,0.17,38.80,0.13,4.37,2.04,0.06,0.17,0.10,24.39,29.31,33.86,17.65,0.22,20.96,0.14,0.95,0.20,34.81,0.34,0.41,6.76,15.13,0.13,9.06,16.00,2.41,8.05,4.35,23.93,8.05,0.20,2.88,23.47,0.50,28.30,8.69,2.30,24.29,0.18,0.47,0.10,6.68,0.03,22.43,0.54,29.53
Qwen2-7B,5.56,0.05,0.26,0.09,1.37,0.08,0.07,0.21,45.45,0.11,0.14,0.04,34.04,3.16,1.00,0.87,0.22,9.64,0.05,0.14,0.80,7.33,1.62,0.16,0.05,2.58,5.05,17.22,0.16,1.13,0.05,34.52,0.18,1.73,0.10,45.48,8.33,10.78,4.98,23.59,1.60,0.12,23.76,0.14,2.21,0.68,3.01,0.91,1.44,6.81,26.44,22.93,0.14,1.33,0.13,4.51,0.09,1.22,1.01,28.85,0.11,0.12,0.02,1.73,9.35,0.28,0.14,0.39,0.20,0.68,3.62,0.07,1.19,5.82,0.44,0.36,0.16,0.33,26.18,0.56,0.11,0.05,32.42,0.13,0.24,5.32,1.41,1.34,28.71,0.09,5.18,13.32,11.21,3.71,1.88,0.17,2.57,0.15,2.18,2.33,10.01,2.43,0.05,0.12,5.25,24.85,0.58,0.11,0.32,8.44,0.04,25.15,0.38,0.81,0.15,12.23,1.92,28.80,14.29,0.06,0.08,9.58,4.86,0.19,6.63,31.10,0.08,0.15,0.45,0.28,0.08,6.62,0.08,14.85,3.24,20.43,0.13,0.30,18.61,0.38,1.54,2.25,9.80,0.17,0.47,0.09,0.14,0.14,0.05,0.44,23.53,0.08,0.14,1.23,10.36,0.10,0.18,11.19,0.08,24.07,0.10,1.17,0.83,0.13,0.08,0.06,18.07,11.63,23.82,10.59,0.09,9.65,0.11,0.18,0.13,16.99,0.14,0.15,1.18,7.67,0.43,0.45,7.25,0.97,2.57,3.17,15.77,6.03,0.02,2.68,17.88,0.10,12.54,0.14,4.10,15.06,0.10,0.16,0.05,3.23,0.01,9.43,0.40,28.62
