Model,Avg,eng_Latn-bjn_Arab,eng_Latn-hat_Latn,eng_Latn-sna_Latn,eng_Latn-npi_Deva,eng_Latn-ckb_Arab,eng_Latn-quy_Latn,eng_Latn-bug_Latn,eng_Latn-fra_Latn,eng_Latn-nso_Latn,eng_Latn-hau_Latn,eng_Latn-bod_Tibt,eng_Latn-zho_Hans,eng_Latn-guj_Gujr,eng_Latn-pan_Guru,eng_Latn-tel_Telu,eng_Latn-gle_Latn,eng_Latn-prs_Arab,eng_Latn-kab_Latn,eng_Latn-kac_Latn,eng_Latn-kan_Knda,eng_Latn-ben_Beng,eng_Latn-jav_Latn,eng_Latn-kam_Latn,eng_Latn-gaz_Latn,eng_Latn-mal_Mlym,eng_Latn-szl_Latn,eng_Latn-nob_Latn,eng_Latn-arb_Latn,eng_Latn-tam_Taml,eng_Latn-shn_Mymr,eng_Latn-vie_Latn,eng_Latn-wol_Latn,eng_Latn-lmo_Latn,eng_Latn-lug_Latn,eng_Latn-por_Latn,eng_Latn-tgl_Latn,eng_Latn-ajp_Arab,eng_Latn-kat_Geor,eng_Latn-tha_Thai,eng_Latn-khm_Khmr,eng_Latn-luo_Latn,eng_Latn-zho_Hant,eng_Latn-twi_Latn,eng_Latn-bho_Deva,eng_Latn-hye_Armn,eng_Latn-fur_Latn,eng_Latn-cym_Latn,eng_Latn-fao_Latn,eng_Latn-est_Latn,eng_Latn-afr_Latn,eng_Latn-cat_Latn,eng_Latn-ssw_Latn,eng_Latn-ltg_Latn,eng_Latn-sag_Latn,eng_Latn-vec_Latn,eng_Latn-kin_Latn,eng_Latn-als_Latn,eng_Latn-bel_Cyrl,eng_Latn-swe_Latn,eng_Latn-umb_Latn,eng_Latn-kmb_Latn,eng_Latn-dzo_Tibt,eng_Latn-pag_Latn,eng_Latn-fin_Latn,eng_Latn-bak_Cyrl,eng_Latn-nya_Latn,eng_Latn-knc_Arab,eng_Latn-mni_Beng,eng_Latn-ban_Latn,eng_Latn-mag_Deva,eng_Latn-cjk_Latn,eng_Latn-tpi_Latn,eng_Latn-epo_Latn,eng_Latn-tat_Cyrl,eng_Latn-som_Latn,eng_Latn-xho_Latn,eng_Latn-kas_Deva,eng_Latn-nld_Latn,eng_Latn-crh_Latn,eng_Latn-azb_Arab,eng_Latn-kbp_Latn,eng_Latn-deu_Latn,eng_Latn-sin_Sinh,eng_Latn-mri_Latn,eng_Latn-hun_Latn,eng_Latn-war_Latn,eng_Latn-kaz_Cyrl,eng_Latn-ita_Latn,eng_Latn-run_Latn,eng_Latn-srp_Cyrl,eng_Latn-acq_Arab,eng_Latn-kor_Hang,eng_Latn-awa_Deva,eng_Latn-srd_Latn,eng_Latn-gla_Latn,eng_Latn-kea_Latn,eng_Latn-kas_Arab,eng_Latn-mar_Deva,eng_Latn-hne_Deva,eng_Latn-aeb_Arab,eng_Latn-ltz_Latn,eng_Latn-ace_Arab,eng_Latn-tum_Latn,eng_Latn-lvs_Latn,eng_Latn-ron_Latn,eng_Latn-san_Deva,eng_Latn-fij_Latn,eng_Latn-lus_Latn,eng_Latn-arz_Arab,eng_Latn-mos_Latn,eng_Latn-glg_Latn,eng_Latn-pbt_Arab,eng_Latn-swh_Latn,eng_Latn-aka_Latn,eng_Latn-heb_Hebr,eng_Latn-ceb_Latn,eng_Latn-ind_Latn,eng_Latn-bos_Latn,eng_Latn-fon_Latn,eng_Latn-dyu_Latn,eng_Latn-ast_Latn,eng_Latn-ary_Arab,eng_Latn-smo_Latn,eng_Latn-slv_Latn,eng_Latn-rus_Cyrl,eng_Latn-dik_Latn,eng_Latn-zul_Latn,eng_Latn-mlt_Latn,eng_Latn-lao_Laoo,eng_Latn-snd_Arab,eng_Latn-lit_Latn,eng_Latn-sat_Olck,eng_Latn-mkd_Cyrl,eng_Latn-pap_Latn,eng_Latn-ces_Latn,eng_Latn-tso_Latn,eng_Latn-grn_Latn,eng_Latn-jpn_Jpan,eng_Latn-uzn_Latn,eng_Latn-azj_Latn,eng_Latn-bjn_Latn,eng_Latn-pes_Arab,eng_Latn-kik_Latn,eng_Latn-kir_Cyrl,eng_Latn-ewe_Latn,eng_Latn-kon_Latn,eng_Latn-ibo_Latn,eng_Latn-tzm_Tfng,eng_Latn-khk_Cyrl,eng_Latn-yue_Hant,eng_Latn-tsn_Latn,eng_Latn-lin_Latn,eng_Latn-mai_Deva,eng_Latn-slk_Latn,eng_Latn-tuk_Latn,eng_Latn-kmr_Latn,eng_Latn-tur_Latn,eng_Latn-bam_Latn,eng_Latn-dan_Latn,eng_Latn-nus_Latn,eng_Latn-asm_Beng,eng_Latn-ilo_Latn,eng_Latn-taq_Tfng,eng_Latn-ayr_Latn,eng_Latn-taq_Latn,eng_Latn-pol_Latn,eng_Latn-ukr_Cyrl,eng_Latn-zsm_Latn,eng_Latn-acm_Arab,eng_Latn-uig_Arab,eng_Latn-hin_Deva,eng_Latn-fuv_Latn,eng_Latn-plt_Latn,eng_Latn-knc_Latn,eng_Latn-bul_Cyrl,eng_Latn-bem_Latn,eng_Latn-yor_Latn,eng_Latn-isl_Latn,eng_Latn-oci_Latn,eng_Latn-ory_Orya,eng_Latn-eus_Latn,eng_Latn-apc_Arab,eng_Latn-mya_Mymr,eng_Latn-urd_Arab,eng_Latn-lij_Latn,eng_Latn-hrv_Latn,eng_Latn-lim_Latn,eng_Latn-amh_Ethi,eng_Latn-min_Latn,eng_Latn-ars_Arab,eng_Latn-sot_Latn,eng_Latn-nno_Latn,eng_Latn-ydd_Hebr,eng_Latn-sun_Latn,eng_Latn-arb_Arab,eng_Latn-lua_Latn,eng_Latn-tgk_Cyrl,eng_Latn-min_Arab,eng_Latn-scn_Latn,eng_Latn-tir_Ethi,eng_Latn-ell_Grek,eng_Latn-ace_Latn,eng_Latn-spa_Latn
EuroLLM-9B,9.49,0.10,0.71,0.11,2.22,0.05,0.17,0.16,54.43,0.12,0.16,0.01,35.16,1.06,1.11,0.67,33.69,1.58,0.06,0.12,0.64,0.85,0.83,0.16,0.06,0.55,9.44,37.42,0.77,0.41,0.04,6.08,0.12,4.63,0.09,54.73,1.67,29.03,1.12,1.98,0.09,0.16,27.32,0.19,5.03,0.64,4.97,1.01,1.87,34.99,19.56,45.78,0.17,1.90,0.13,8.55,0.09,0.67,2.98,49.91,0.08,0.15,0.02,0.74,33.23,0.20,0.14,0.34,0.12,0.56,11.78,0.09,0.85,6.07,0.29,0.14,0.19,0.64,35.04,1.86,0.08,0.14,45.64,0.21,0.57,34.68,0.68,0.31,37.90,0.11,6.62,28.69,25.39,12.23,2.05,1.32,3.43,0.05,1.08,13.10,20.69,2.96,0.18,0.15,37.53,46.91,0.70,0.20,0.25,23.93,0.09,39.78,0.05,0.38,0.16,4.37,0.87,13.59,33.48,0.09,0.09,16.28,9.33,0.27,35.36,39.62,0.11,0.16,47.86,0.08,0.03,34.14,0.27,9.48,3.69,40.39,0.13,0.17,29.67,0.26,1.84,2.00,1.56,0.18,0.23,0.10,0.15,0.19,0.33,0.16,33.37,0.08,0.15,7.03,39.53,0.20,0.18,38.61,0.13,49.73,0.16,0.20,0.40,0.10,0.12,0.09,32.32,38.54,9.03,27.71,0.03,35.32,0.15,0.19,0.18,47.27,0.13,0.15,1.50,14.09,0.32,0.48,23.05,0.09,0.48,4.04,34.00,7.92,0.02,1.56,38.22,0.15,28.12,2.42,0.73,39.39,0.10,0.23,0.09,3.46,0.02,34.80,0.31,33.19
EuroLLM-9B-Instruct,9.86,0.11,0.91,0.09,2.39,0.08,0.19,0.19,54.13,0.12,0.14,0.01,35.40,1.35,1.35,1.14,33.99,2.26,0.05,0.11,0.81,1.27,1.42,0.16,0.05,0.66,10.34,38.34,1.10,0.51,0.09,7.36,0.13,5.31,0.09,52.89,2.71,29.82,1.51,3.26,0.17,0.15,28.99,0.23,8.49,0.80,5.78,1.22,2.86,36.29,19.38,45.13,0.18,4.43,0.13,9.15,0.10,0.92,3.02,49.89,0.08,0.15,0.01,0.72,33.79,0.25,0.15,0.34,0.21,1.46,13.91,0.08,0.88,5.99,0.28,0.11,0.21,1.39,34.89,2.97,0.20,0.17,45.15,0.30,0.80,34.13,1.30,0.43,37.58,0.10,5.04,31.12,26.52,14.02,3.39,2.38,3.95,0.08,1.80,13.79,20.78,3.57,0.15,0.16,36.84,46.54,1.12,0.19,0.22,24.71,0.09,40.45,0.06,0.33,0.19,5.72,1.72,16.92,33.73,0.08,0.10,16.37,15.40,0.26,35.62,38.90,0.11,0.19,50.21,0.21,0.05,34.92,0.37,10.94,2.91,39.86,0.13,0.17,30.39,0.28,2.86,3.39,2.25,0.18,0.25,0.13,0.15,0.18,0.46,0.19,32.91,0.09,0.14,10.84,39.77,0.41,0.16,37.90,0.13,49.52,0.17,0.37,0.54,0.14,0.11,0.11,32.56,36.73,10.23,29.17,0.03,35.22,0.13,0.17,0.14,47.50,0.12,0.16,1.88,14.56,0.47,0.57,27.74,0.13,0.73,5.98,33.56,8.64,0.04,4.17,38.36,0.16,31.49,3.25,1.38,39.30,0.10,0.24,0.10,3.56,0.02,36.22,0.50,33.44
gemma-2-9b,12.09,0.08,8.28,0.93,13.55,0.88,0.17,0.20,51.93,0.60,6.29,0.16,33.28,16.75,17.94,13.81,6.45,25.25,0.15,0.16,14.55,17.52,11.93,0.19,0.10,15.95,6.43,34.45,0.30,12.47,0.41,39.48,0.09,6.20,0.36,50.80,31.25,19.33,13.45,34.08,4.60,0.27,26.50,0.50,7.34,20.78,7.31,20.97,5.94,23.47,41.43,42.79,0.48,1.44,0.12,14.23,0.61,23.69,19.24,44.43,0.07,0.13,0.14,2.18,25.20,3.33,0.71,0.29,0.23,1.78,11.64,0.07,4.38,34.26,3.23,1.69,1.48,0.40,31.51,1.86,0.23,0.22,42.31,3.88,1.95,27.29,10.96,9.12,33.87,0.39,30.58,23.90,15.70,10.88,6.31,1.81,4.63,0.16,9.84,8.51,13.89,14.06,0.16,0.21,23.87,40.73,1.01,0.39,2.25,15.54,0.07,34.93,0.39,26.61,0.53,27.32,13.53,45.98,30.29,0.06,0.08,26.85,5.30,1.16,27.98,35.57,0.16,1.57,22.31,3.42,0.91,24.22,3.19,28.89,12.31,33.21,0.35,0.29,25.50,9.96,10.06,4.13,29.88,0.22,3.08,0.16,0.28,1.16,0.22,1.76,30.44,0.73,0.63,5.92,30.34,0.59,0.45,31.23,0.12,44.24,0.11,5.11,2.52,0.10,0.11,0.08,28.44,32.70,39.76,23.99,0.29,31.76,0.10,2.40,0.11,41.30,0.39,0.49,13.43,20.67,1.23,10.71,17.74,2.82,13.44,6.06,27.45,9.58,1.05,4.59,31.31,1.02,32.36,13.53,6.68,28.11,0.16,1.13,0.08,8.85,0.16,29.39,0.44,32.07
gemma-2-9b-it,13.62,0.15,10.56,1.26,19.80,0.62,0.28,0.29,52.43,0.92,11.15,0.12,34.97,18.27,17.36,21.28,7.93,25.66,0.31,0.36,18.16,21.73,17.39,0.33,0.26,18.57,9.88,34.18,1.39,20.31,0.22,39.60,0.95,9.03,0.33,53.13,30.86,24.47,14.11,30.38,5.64,0.45,28.91,0.70,13.14,18.41,12.21,19.57,9.09,25.56,39.63,43.14,1.00,3.96,0.21,15.46,0.63,22.91,19.74,42.14,0.11,0.35,0.14,3.69,25.15,5.43,0.88,0.72,0.56,3.77,20.38,0.16,7.76,33.13,6.54,3.32,1.81,1.63,31.39,4.80,0.52,0.37,39.91,8.29,5.41,28.04,18.61,12.64,36.29,0.43,26.56,24.30,23.31,17.68,13.22,2.09,8.44,0.24,17.54,16.28,14.71,16.88,0.17,0.46,27.12,42.29,4.41,0.74,5.78,19.94,0.20,35.95,0.77,29.83,0.69,29.06,24.01,43.58,31.18,0.09,0.27,30.53,9.64,1.47,28.68,33.85,0.50,2.16,26.13,2.35,0.66,26.92,2.59,28.94,14.71,34.41,0.28,0.62,27.63,17.00,14.67,12.18,29.86,0.28,5.91,0.21,0.37,2.51,0.12,2.87,29.13,0.91,0.93,15.24,33.28,1.31,0.77,34.26,0.13,43.77,0.15,8.65,6.50,0.17,0.31,0.22,29.52,33.91,39.97,20.34,0.29,33.24,0.19,3.77,0.55,38.84,0.53,0.64,13.02,22.05,2.71,15.98,22.77,2.78,19.36,8.88,28.37,13.73,1.56,13.49,24.73,0.98,32.44,17.04,11.42,28.81,0.35,1.70,0.07,12.22,0.35,29.19,1.56,32.24
gemma-3-12b-it,17.67,0.13,21.53,7.07,24.05,6.41,1.36,1.63,54.32,1.88,12.79,0.85,36.99,33.06,28.22,37.42,15.22,31.17,0.73,0.78,22.67,30.65,21.96,0.71,0.28,15.34,10.84,38.54,8.67,31.39,0.10,43.35,1.01,7.37,1.77,54.92,37.69,29.49,23.89,41.78,11.22,1.55,30.83,1.26,15.20,28.61,12.52,24.72,14.03,30.35,40.90,46.87,2.64,3.81,0.66,16.44,6.04,32.23,24.85,51.05,0.54,0.42,0.53,7.80,34.53,10.33,7.18,0.36,0.69,4.09,22.48,0.26,11.33,37.41,13.04,9.62,7.74,0.90,34.76,5.43,1.43,0.95,46.11,15.46,11.68,32.23,16.84,24.53,38.33,3.22,34.86,27.86,28.31,19.50,14.92,8.43,10.77,0.54,25.99,18.40,21.18,24.02,0.11,1.17,32.69,47.33,5.16,2.60,2.59,26.96,0.72,39.20,9.35,32.90,1.16,42.21,29.46,50.10,37.00,0.65,0.82,31.74,15.37,7.38,33.34,40.65,0.91,10.22,38.59,20.29,11.44,31.16,3.19,37.18,20.46,40.51,1.49,1.48,31.32,26.35,19.53,10.49,35.13,0.54,16.75,1.43,1.33,4.07,1.47,14.47,24.05,2.39,1.90,10.69,38.26,6.75,9.34,38.29,1.09,50.61,0.35,7.95,7.78,1.41,0.86,0.46,32.89,39.64,41.57,28.34,4.29,37.16,0.43,11.74,1.37,47.73,1.39,2.39,22.50,29.99,10.75,21.53,29.40,8.16,24.98,11.47,35.64,15.26,6.57,13.88,35.79,6.82,36.62,23.16,15.82,40.69,0.96,17.82,0.17,13.67,0.82,37.36,2.80,33.95
gemma-3-12b-pt,16.87,0.51,23.49,6.70,23.38,8.56,0.25,0.43,52.33,2.03,10.88,0.34,34.66,28.78,25.79,26.66,19.02,26.55,0.22,0.25,24.11,26.43,23.94,0.22,0.16,23.03,13.65,37.97,2.29,21.92,0.40,41.39,0.31,8.29,0.53,53.05,36.03,29.71,25.05,38.62,13.72,0.32,28.24,0.74,9.96,29.70,14.35,32.79,17.20,31.43,44.35,45.29,1.21,3.89,0.16,16.72,4.07,33.63,23.56,48.78,0.14,0.19,0.23,2.63,31.81,11.87,8.56,0.23,0.22,3.47,15.70,0.11,2.15,37.27,11.06,9.09,7.91,0.64,33.38,4.15,0.92,0.23,43.28,16.29,7.14,31.48,20.71,20.94,35.21,1.30,33.32,25.77,25.41,15.85,13.47,11.52,9.02,0.42,21.72,12.64,19.45,26.91,0.27,0.71,32.40,44.87,1.48,0.41,1.04,23.95,0.09,38.35,4.87,35.02,0.76,39.83,25.87,46.27,36.24,0.09,0.14,32.50,13.31,6.98,32.28,37.87,0.27,13.50,44.31,25.61,9.67,30.63,4.55,37.94,25.21,38.60,0.46,0.42,28.00,27.14,19.17,9.39,32.82,0.25,14.53,0.35,0.35,5.45,0.42,12.20,29.82,1.87,0.69,10.81,36.77,7.23,6.29,36.02,0.23,48.48,0.15,9.02,5.41,0.24,0.19,0.08,30.43,37.54,42.83,25.71,4.08,33.34,0.12,14.07,0.13,45.61,0.53,1.07,26.83,32.67,7.49,23.22,25.70,6.45,25.18,12.15,34.10,17.56,6.09,9.93,34.33,8.02,36.50,25.24,18.79,36.56,0.20,16.88,0.70,12.73,0.46,35.73,0.88,32.24
gemma-7b,9.05,0.07,1.81,0.64,6.05,0.69,0.24,0.23,47.44,0.46,1.68,0.03,22.61,7.05,8.56,7.96,2.74,17.10,0.19,0.26,7.11,12.64,2.45,0.21,0.10,7.78,3.67,29.35,0.37,8.72,0.40,35.23,0.39,5.15,0.42,47.48,23.13,15.46,9.07,29.43,2.13,0.21,22.52,0.60,4.80,9.51,6.84,6.81,4.13,16.72,37.40,37.64,0.72,0.89,0.14,9.15,0.51,14.79,14.76,32.35,0.10,0.18,0.03,2.05,21.17,1.58,0.35,0.36,0.33,1.18,9.88,0.10,2.06,25.75,1.47,0.52,0.88,0.34,28.01,0.86,0.28,0.39,36.55,1.99,0.89,19.82,6.46,3.22,30.12,0.33,26.98,20.85,10.44,7.49,5.80,1.26,3.60,0.17,5.06,5.62,11.12,6.47,0.15,0.24,16.84,36.12,0.60,0.36,0.88,13.91,0.07,30.92,0.20,20.90,0.49,23.32,5.17,30.06,25.00,0.07,0.10,26.71,4.29,0.64,20.96,29.84,0.27,0.99,8.01,0.60,0.30,17.59,2.04,20.55,5.69,28.58,0.31,0.50,12.20,3.04,5.64,3.68,19.43,0.27,1.23,0.22,0.24,0.93,0.07,0.75,24.92,0.42,0.33,4.92,26.23,0.40,0.37,15.55,0.17,38.80,0.13,4.37,2.04,0.06,0.17,0.10,24.39,29.31,33.86,17.65,0.22,20.96,0.14,0.95,0.20,34.81,0.34,0.41,6.76,15.13,0.13,9.06,16.00,2.41,8.05,4.35,23.93,8.05,0.20,2.88,23.47,0.50,28.30,8.69,2.30,24.29,0.18,0.47,0.10,6.68,0.03,22.43,0.54,29.53
gemma-7b-it,8.17,0.54,4.69,4.09,5.32,0.54,2.72,4.05,38.73,3.78,4.81,0.07,20.62,1.02,1.55,4.54,4.86,9.72,1.13,2.40,2.48,9.14,7.05,2.70,1.23,0.65,9.50,26.19,3.31,6.50,0.28,32.04,2.57,4.62,2.65,38.57,18.36,13.66,6.34,21.42,0.46,1.25,17.96,3.85,5.88,3.90,5.62,8.66,6.40,12.84,28.05,30.96,2.96,2.69,2.02,9.19,3.33,10.04,10.26,28.65,1.39,1.89,0.01,7.10,14.66,2.09,3.16,0.98,1.26,7.31,8.49,1.20,8.85,19.61,1.10,3.37,3.30,1.48,24.10,4.17,0.17,1.58,29.96,0.42,6.14,16.09,8.98,2.06,25.00,1.93,2.69,13.32,11.18,7.11,5.80,3.67,4.46,0.32,3.72,7.51,11.69,7.97,0.38,2.20,10.75,27.30,1.98,5.43,6.73,11.18,1.00,24.97,0.79,8.87,3.44,16.54,11.00,27.95,21.29,0.83,2.02,16.73,9.15,6.92,17.58,23.37,2.55,3.24,11.70,0.63,0.68,12.08,0.11,16.63,6.24,23.87,2.52,3.90,13.99,5.00,3.43,8.02,11.52,3.26,1.63,1.47,1.99,4.34,0.12,1.13,19.37,2.60,3.50,5.66,18.93,2.03,2.55,15.87,2.07,31.73,1.64,3.48,6.25,0.14,2.38,1.57,19.32,23.10,21.88,12.62,0.41,14.30,1.55,5.56,1.31,25.41,4.42,3.24,7.02,6.13,0.13,9.38,12.63,0.39,0.58,6.16,19.90,8.53,0.13,7.75,15.82,4.69,21.39,3.31,7.41,16.01,2.26,1.55,0.37,6.39,0.04,11.25,5.28,26.27
GemmaX2-28-9B-v0.1,9.89,1.05,2.41,0.86,6.56,0.67,3.79,5.30,52.83,2.89,1.85,0.21,38.74,0.40,0.37,0.63,2.78,23.95,0.69,1.31,0.44,31.78,9.80,0.97,0.94,0.27,15.17,17.89,0.34,0.41,1.22,43.73,3.17,4.66,2.63,50.13,36.63,31.41,0.73,40.61,24.24,1.61,11.49,2.37,14.78,0.35,5.76,2.82,3.26,2.58,8.84,7.99,0.89,1.71,3.52,11.33,1.12,1.84,2.29,21.87,3.33,3.49,0.03,6.68,4.30,3.94,0.93,0.21,1.90,11.54,24.17,3.16,3.26,5.65,2.00,2.07,1.53,0.63,35.45,5.63,0.15,2.06,44.13,0.39,3.30,4.16,9.72,3.57,36.88,2.78,2.44,32.41,27.27,21.08,4.99,1.00,5.25,5.60,5.04,20.62,26.45,6.65,0.66,1.19,1.82,16.73,4.09,3.60,1.74,23.61,2.11,17.00,1.40,2.93,3.19,43.24,13.13,49.10,4.80,1.73,1.84,18.13,20.35,3.03,3.85,37.80,1.40,1.14,3.92,32.27,1.98,3.71,0.04,4.85,3.55,38.88,1.30,3.75,30.69,0.74,3.09,11.28,35.49,0.86,3.34,2.04,3.52,0.89,0.13,0.74,13.27,2.34,4.02,15.96,12.06,1.67,2.30,38.95,2.22,18.99,0.53,4.39,6.15,0.13,3.12,1.05,31.81,5.82,44.54,31.29,0.42,37.98,2.20,2.25,2.00,7.94,1.98,2.23,3.00,6.22,0.55,2.72,29.08,20.78,28.91,6.64,3.62,10.17,0.24,10.67,37.29,2.59,13.03,1.29,10.53,39.23,3.15,2.28,0.50,6.31,0.20,6.04,7.04,34.18
EMMA-500 Llama 3.1 8B Bi,23.86,2.57,30.10,18.27,30.97,21.48,4.22,1.88,52.41,27.22,26.04,4.33,33.15,32.15,32.81,36.13,35.76,28.22,9.52,7.67,33.36,29.62,28.54,1.94,7.46,34.18,27.08,37.75,2.25,30.17,6.14,41.80,3.82,11.49,9.07,53.34,37.06,30.73,31.48,32.88,20.19,7.54,26.73,10.55,18.35,36.13,34.16,52.93,29.51,34.99,48.40,46.55,12.59,26.64,3.42,20.64,21.37,37.96,25.72,49.38,0.80,1.00,4.27,18.32,33.30,24.72,17.53,0.42,20.48,17.52,29.68,0.18,19.93,41.31,27.74,16.78,21.80,2.13,34.45,15.53,4.14,6.60,42.67,33.23,23.62,33.66,30.59,30.87,36.03,12.75,41.71,29.59,23.29,21.33,33.39,27.80,12.08,12.86,25.26,24.61,20.67,34.06,1.43,12.61,35.32,45.66,6.11,17.03,9.39,26.57,1.07,39.39,16.25,39.04,8.58,42.99,35.26,47.58,39.24,2.06,0.68,34.51,13.94,29.49,35.69,39.09,2.19,26.10,52.44,26.98,28.39,34.09,18.09,41.66,42.58,38.96,19.74,10.84,24.42,31.19,22.50,21.75,32.76,9.10,24.76,9.44,9.65,19.55,3.72,25.80,30.10,21.21,12.46,23.87,38.97,23.94,18.51,36.31,3.43,49.16,0.95,19.04,23.95,1.07,2.51,0.23,30.92,37.81,43.61,26.76,24.82,35.68,0.78,27.77,1.24,47.15,3.80,10.28,33.46,40.05,27.53,27.38,27.33,19.29,26.83,27.93,37.21,22.28,24.18,26.15,36.36,28.48,37.62,36.49,23.53,37.48,3.99,31.17,3.41,22.26,11.55,36.41,13.11,32.41
EMMA-500 Llama 3.1 8B Mono,19.44,1.33,28.82,16.16,25.30,19.31,2.74,0.86,45.74,22.64,21.76,2.14,26.65,25.43,26.09,26.09,31.44,25.43,5.65,3.13,26.34,19.18,26.71,0.73,3.72,25.98,19.41,32.89,0.88,21.68,1.11,37.47,3.13,9.51,3.32,45.39,33.06,26.29,27.34,26.01,17.72,4.13,20.65,9.18,13.33,29.73,27.57,48.71,24.90,27.69,46.27,41.27,6.36,18.54,2.06,17.23,15.11,33.64,22.33,41.84,0.48,0.34,2.27,15.42,25.96,17.79,13.34,0.39,16.13,14.77,20.28,0.11,12.80,39.29,20.32,14.68,17.89,0.97,29.76,8.81,2.95,4.75,36.16,24.95,22.18,26.16,26.05,25.75,30.98,5.97,35.45,26.27,18.09,15.83,27.69,25.37,5.20,11.28,21.56,17.86,19.37,30.10,0.84,8.38,27.20,38.77,3.46,15.75,4.91,23.21,0.18,35.60,12.20,34.27,7.07,33.58,31.77,42.42,33.24,0.86,0.30,30.11,12.54,27.50,29.90,32.26,0.98,22.28,48.07,22.05,24.28,26.60,7.52,36.46,33.95,32.75,11.99,7.67,20.29,26.11,19.34,23.20,27.98,2.74,21.15,7.72,2.49,16.42,0.60,20.32,23.72,14.32,12.37,17.96,31.68,15.91,16.54,27.02,2.06,41.60,0.56,12.79,15.89,0.35,1.78,0.13,25.74,31.97,38.61,24.46,16.00,27.94,0.24,24.11,0.63,40.04,2.08,7.64,29.72,32.81,18.10,23.20,21.58,15.14,22.12,23.57,30.36,17.61,17.29,25.16,30.80,20.33,33.79,34.87,22.29,32.72,1.98,27.51,2.15,19.84,5.32,29.23,8.73,29.33
EMMA-500 Llama 3 8B Bi,24.02,2.59,30.79,18.01,31.03,22.36,3.46,1.51,53.39,27.11,25.23,3.91,33.81,32.37,32.71,37.17,35.74,20.97,9.42,7.43,34.65,30.50,29.01,1.52,6.84,35.16,26.17,38.48,1.76,31.08,6.00,42.43,3.85,11.39,10.06,53.34,36.33,29.31,31.89,33.74,21.27,8.77,26.38,11.19,18.73,36.44,34.17,54.30,29.16,35.49,48.18,46.45,11.51,26.62,2.39,20.60,20.68,38.85,25.90,49.72,0.55,0.97,4.35,19.88,34.07,24.76,17.96,0.52,21.93,16.93,30.80,0.22,20.95,41.54,28.00,16.58,21.65,2.07,34.59,16.97,3.54,6.49,43.97,34.08,24.70,34.23,30.08,31.18,36.21,13.08,42.78,29.30,21.58,21.58,35.17,28.61,11.36,11.83,26.93,25.59,21.47,34.54,1.72,11.88,35.27,46.02,6.77,20.06,11.38,25.80,0.82,39.94,16.75,38.92,9.70,43.26,34.41,48.09,39.56,1.74,0.64,34.50,13.67,30.29,36.34,39.06,1.39,26.07,52.69,28.14,28.78,34.76,18.43,42.62,42.58,38.98,19.05,10.81,24.17,32.09,22.55,24.03,33.80,7.51,24.57,9.80,6.84,19.35,2.47,26.10,30.63,22.08,15.68,24.72,39.08,21.51,18.44,36.49,3.15,49.60,0.80,19.25,22.50,0.60,2.29,0.23,31.25,37.53,43.29,27.69,25.49,36.04,0.81,27.59,0.98,47.13,3.00,10.99,33.92,40.42,29.28,28.53,26.44,19.85,27.24,28.80,37.80,22.69,24.12,26.83,36.46,27.57,37.78,36.44,24.48,37.49,3.31,31.01,4.39,21.26,12.19,36.75,13.19,32.47
EMMA-500 Llama 3 8B Mono,20.33,1.41,28.91,16.15,25.30,19.34,2.71,0.95,46.33,21.56,21.71,2.62,27.61,27.91,28.44,30.53,32.52,24.83,6.47,5.38,28.98,21.15,26.81,1.07,4.20,29.25,20.93,34.23,0.80,24.11,2.67,38.34,3.27,9.43,4.94,47.02,33.69,28.25,28.24,27.96,18.76,3.50,22.10,10.06,14.31,31.19,29.54,50.14,25.79,29.76,45.98,42.70,7.61,19.84,1.82,17.67,15.83,34.13,23.29,43.19,0.38,0.30,2.73,15.76,26.06,18.97,15.07,0.30,16.99,12.99,20.52,0.11,13.22,39.65,21.64,15.29,19.26,1.00,30.34,10.27,2.49,6.30,37.45,27.08,22.53,27.20,27.36,26.56,31.88,8.37,36.11,27.44,19.20,16.22,31.12,26.28,5.18,10.19,23.08,17.31,19.22,30.45,1.08,11.17,28.38,40.35,3.48,17.50,5.36,23.02,0.19,36.58,12.26,35.15,6.83,34.91,32.77,42.82,34.14,1.16,0.36,30.75,12.38,28.50,31.35,34.64,1.31,23.13,49.63,24.93,25.13,27.06,13.64,37.21,36.13,32.99,13.39,7.73,19.06,27.53,19.86,19.81,28.28,2.73,21.32,6.19,2.83,18.07,1.28,21.32,25.38,15.39,14.49,19.29,32.60,18.51,17.21,27.45,2.88,43.60,0.88,13.65,18.58,0.38,1.56,0.15,26.81,33.13,39.78,25.35,17.26,29.31,0.33,24.55,1.12,40.84,2.26,8.29,30.62,35.89,19.67,24.28,25.80,17.35,22.98,25.92,32.14,17.63,19.86,21.09,32.85,25.35,34.65,35.49,22.34,33.04,2.24,29.51,1.96,18.78,6.85,30.40,10.54,29.41
